model,forecast_target,mse,mae,trend_accuracy
naive_last,value,0.10880269855260849,0.2542926073074341,0.0
previous_patch,value,0.16118255257606506,0.3178901970386505,0.5153846153846153
mean_context,value,0.6317733526229858,0.6185712814331055,0.0
drift,value,0.11400820314884186,0.2577783167362213,0.5076923076923077
