model,mse,mae,trend_accuracy
naive_last,0.0012987357331439853,0.02484283782541752,0.004593175853018373
previous_patch,0.002085923682898283,0.03335349261760712,0.4973753280839895
mean_context,0.008684976026415825,0.0728025957942009,0.004593175853018373
drift,0.001419695933462394,0.025874691554207404,0.48884514435695536
