stock,model,mse,mae,trend_accuracy,source_file
NVDA,naive_last,0.00198280974291265,0.03505386412143707,0.0,results/last_model_comparison_20260618_204152.csv
NVDA,drift,0.0020448253016247383,0.03520940863467718,0.5122950819672131,results/last_model_comparison_20260618_204152.csv
NVDA,GRU,0.002189459279179573,0.03765864670276642,0.4918032786885246,results/last_model_comparison_20260618_204152.csv
NVDA,TS-JEPA,0.00250830315053463,0.03963933140039444,0.5450819672131147,results/last_model_comparison_20260618_204152.csv
NVDA,mean_context,0.01882089488208294,0.10010683536529541,0.0,results/last_model_comparison_20260618_204152.csv
NVDA,previous_patch,0.033127013593912125,0.12057193368673325,0.5081967213114754,results/last_model_comparison_20260618_204152.csv
AAPL,naive_last,0.0010061414213851094,0.022336257621645927,0.0,results/last_model_comparison_20260618_204310.csv
AAPL,TS-JEPA,0.0010504972888156772,0.02382556162774563,0.48770491803278687,results/last_model_comparison_20260618_204310.csv
AAPL,drift,0.0010764438140203438,0.02290335070733296,0.4918032786885246,results/last_model_comparison_20260618_204310.csv
AAPL,GRU,0.0012137318262830377,0.025509459897875786,0.5450819672131147,results/last_model_comparison_20260618_204310.csv
AAPL,mean_context,0.007031710352748632,0.06921769678592682,0.0,results/last_model_comparison_20260618_204310.csv
AAPL,previous_patch,0.017073625698685646,0.09301435202360153,0.5122950819672131,results/last_model_comparison_20260618_204310.csv
MSFT,naive_last,0.000889064627699554,0.02138836681842804,0.0,results/last_model_comparison_20260618_204427.csv
MSFT,drift,0.0009454245833958706,0.0221129532181801,0.5655737704918032,results/last_model_comparison_20260618_204427.csv
MSFT,GRU,0.0011374956229701638,0.024571916088461876,0.5,results/last_model_comparison_20260618_204427.csv
MSFT,TS-JEPA,0.0017611036309972405,0.0290883369743824,0.4918032786885246,results/last_model_comparison_20260618_204427.csv
MSFT,mean_context,0.008166482672095299,0.0734480544924736,0.0,results/last_model_comparison_20260618_204427.csv
MSFT,previous_patch,0.02155531570315361,0.09992246329784393,0.4672131147540984,results/last_model_comparison_20260618_204427.csv
AMZN,naive_last,0.0012236298061907291,0.02581946551799774,0.0,results/last_model_comparison_20260618_204542.csv
AMZN,GRU,0.0013686256716027856,0.027959566563367844,0.47540983606557374,results/last_model_comparison_20260618_204542.csv
AMZN,drift,0.0013853338031760288,0.027132163312215525,0.5081967213114754,results/last_model_comparison_20260618_204542.csv
AMZN,TS-JEPA,0.0014923824928700924,0.029754675924777985,0.5245901639344263,results/last_model_comparison_20260618_204542.csv
AMZN,mean_context,0.008421611972153187,0.07324088364839554,0.0,results/last_model_comparison_20260618_204542.csv
AMZN,previous_patch,0.022900018841028214,0.10670944303274155,0.5409836065573771,results/last_model_comparison_20260618_204542.csv
GOOGL,naive_last,0.001578636816702783,0.030024966225028038,0.0,results/last_model_comparison_20260618_204659.csv
GOOGL,GRU,0.001604367047548294,0.030864737927913666,0.5204918032786885,results/last_model_comparison_20260618_204659.csv
GOOGL,drift,0.0016237596667457695,0.030692321370684037,0.5204918032786885,results/last_model_comparison_20260618_204659.csv
GOOGL,TS-JEPA,0.002306751674041152,0.03793437033891678,0.5040983606557377,results/last_model_comparison_20260618_204659.csv
GOOGL,mean_context,0.022008094936609268,0.1265486627817154,0.0,results/last_model_comparison_20260618_204659.csv
GOOGL,previous_patch,0.03455489128828049,0.13510163128376007,0.4959016393442623,results/last_model_comparison_20260618_204659.csv
AVGO,naive_last,0.003969406243413687,0.043561361730098724,0.0,results/last_model_comparison_20260618_204815.csv
AVGO,drift,0.004182096325004314,0.043771367740072356,0.5163934426229508,results/last_model_comparison_20260618_204815.csv
AVGO,GRU,0.00428802240639925,0.047573819756507874,0.5614754098360656,results/last_model_comparison_20260618_204815.csv
AVGO,TS-JEPA,0.004913284443318844,0.05091654509305954,0.5491803278688525,results/last_model_comparison_20260618_204815.csv
AVGO,mean_context,0.02788686193525791,0.13786786794662476,0.0,results/last_model_comparison_20260618_204815.csv
AVGO,previous_patch,0.07288908213376999,0.17732377350330353,0.48360655737704916,results/last_model_comparison_20260618_204815.csv
META,naive_last,0.001556317787617445,0.02766188606619835,0.0,results/last_model_comparison_20260618_204931.csv
META,drift,0.0016968430711992671,0.02848429240760003,0.5,results/last_model_comparison_20260618_204931.csv
META,GRU,0.0020265013445168734,0.03239220753312111,0.5040983606557377,results/last_model_comparison_20260618_204931.csv
META,TS-JEPA,0.0020430870354175568,0.03229901194572449,0.46311475409836067,results/last_model_comparison_20260618_204931.csv
META,mean_context,0.009153274819254875,0.074851393699646,0.0,results/last_model_comparison_20260618_204931.csv
META,previous_patch,0.024271029978990555,0.10928090661764145,0.5286885245901639,results/last_model_comparison_20260618_204931.csv
TSLA,naive_last,0.002715025097131729,0.03968764469027519,0.0,results/last_model_comparison_20260618_205050.csv
TSLA,GRU,0.0030628761742264032,0.04201752692461014,0.5,results/last_model_comparison_20260618_205050.csv
TSLA,drift,0.0032338718828749734,0.042047107666702256,0.5122950819672131,results/last_model_comparison_20260618_205050.csv
TSLA,TS-JEPA,0.0049072871915996075,0.05545644462108612,0.5532786885245902,results/last_model_comparison_20260618_205050.csv
TSLA,mean_context,0.017232663929462433,0.09941839426755905,0.0,results/last_model_comparison_20260618_205050.csv
TSLA,previous_patch,0.04332321882247925,0.15021169185638428,0.4057377049180328,results/last_model_comparison_20260618_205050.csv
GOOG,naive_last,0.001516180345788598,0.02975279465317726,0.0,results/last_model_comparison_20260618_205207.csv
GOOG,drift,0.001555431995529225,0.030249973449257388,0.5122950819672131,results/last_model_comparison_20260618_205207.csv
GOOG,GRU,0.001617961097508669,0.0314522460103035,0.5122950819672131,results/last_model_comparison_20260618_205207.csv
GOOG,TS-JEPA,0.0026085982099175453,0.04119320586323738,0.5163934426229508,results/last_model_comparison_20260618_205207.csv
GOOG,mean_context,0.02138526178896427,0.12467949092388153,0.0,results/last_model_comparison_20260618_205207.csv
GOOG,previous_patch,0.04071439430117607,0.14322292804718018,0.46311475409836067,results/last_model_comparison_20260618_205207.csv
WMT,GRU,0.0010558427311480045,0.022220274433493614,0.4426229508196721,results/last_model_comparison_20260618_205324.csv
WMT,naive_last,0.001057861722074449,0.022631367668509483,0.00819672131147541,results/last_model_comparison_20260618_205324.csv
WMT,drift,0.0011291500247525112,0.023007271949931327,0.4672131147540984,results/last_model_comparison_20260618_205324.csv
WMT,TS-JEPA,0.0011566737666726112,0.02409878931939602,0.5204918032786885,results/last_model_comparison_20260618_205324.csv
WMT,mean_context,0.00340840220451355,0.04668252542614937,0.00819672131147541,results/last_model_comparison_20260618_205324.csv
WMT,previous_patch,0.046363141387701035,0.11203745752573013,0.4918032786885246,results/last_model_comparison_20260618_205324.csv
