stock,model,mse,mse_std,mae,mae_std,trend_accuracy,trend_accuracy_std,num_runs,source_files
META,naive_last,0.001556317787617445,0.0,0.02766188606619835,0.0,0.0,0.0,1,results/META/seed_42/last_model_comparison_20260726_170438.csv
META,previous_patch,0.024271029978990555,0.0,0.10928090661764145,0.0,0.5286885245901639,0.0,1,results/META/seed_42/last_model_comparison_20260726_170438.csv
MSFT,GRU,0.0011374956229701638,0.0,0.024571916088461876,0.0,0.5,0.0,1,results/MSFT/seed_42/last_model_comparison_20260726_164800.csv
MSFT,TS-JEPA,0.003054215107113123,0.0,0.03978037089109421,0.0,0.4426229508196721,0.0,1,results/MSFT/seed_42/last_model_comparison_20260726_164800.csv
MSFT,drift,0.0009454245833958706,0.0,0.0221129532181801,0.0,0.5655737704918032,0.0,1,results/MSFT/seed_42/last_model_comparison_20260726_164800.csv
MSFT,mean_context,0.008166482672095299,0.0,0.0734480544924736,0.0,0.0,0.0,1,results/MSFT/seed_42/last_model_comparison_20260726_164800.csv
MSFT,naive_last,0.000889064627699554,0.0,0.02138836681842804,0.0,0.0,0.0,1,results/MSFT/seed_42/last_model_comparison_20260726_164800.csv
MSFT,previous_patch,0.02155531570315361,0.0,0.09992246329784393,0.0,0.4672131147540984,0.0,1,results/MSFT/seed_42/last_model_comparison_20260726_164800.csv
NVDA,GRU,0.0021920332219451666,0.0,0.037540581077337265,0.0,0.48846153846153845,0.0,1,results/NVDA/seed_42/last_model_comparison_20260726_163950.csv
NVDA,TS-JEPA,0.0027083309832960367,0.0,0.040580566972494125,0.0,0.5384615384615384,0.0,1,results/NVDA/seed_42/last_model_comparison_20260726_163950.csv
NVDA,drift,0.001994518689175974,0.0,0.034742031305325397,0.0,0.5076923076923077,0.0,1,results/NVDA/seed_42/last_model_comparison_20260726_163950.csv
NVDA,mean_context,0.017762182280421257,0.0,0.09612681716680527,0.0,0.0,0.0,1,results/NVDA/seed_42/last_model_comparison_20260726_163950.csv
NVDA,naive_last,0.0019319504499435425,0.0,0.03454970568418503,0.0,0.0,0.0,1,results/NVDA/seed_42/last_model_comparison_20260726_163950.csv
NVDA,previous_patch,0.029695825651288033,0.0,0.1118546724319458,0.0,0.5346153846153846,0.0,1,results/NVDA/seed_42/last_model_comparison_20260726_163950.csv
TSLA,GRU,0.0030628761742264032,0.0,0.04201752692461014,0.0,0.5,0.0,1,results/TSLA/seed_42/last_model_comparison_20260726_170844.csv
TSLA,TS-JEPA,0.0034664294216781855,0.0,0.044816114008426666,0.0,0.5163934426229508,0.0,1,results/TSLA/seed_42/last_model_comparison_20260726_170844.csv
TSLA,drift,0.0032338718828749734,0.0,0.042047107666702256,0.0,0.5122950819672131,0.0,1,results/TSLA/seed_42/last_model_comparison_20260726_170844.csv
TSLA,mean_context,0.017232663929462433,0.0,0.09941839426755905,0.0,0.0,0.0,1,results/TSLA/seed_42/last_model_comparison_20260726_170844.csv
TSLA,naive_last,0.002715025097131729,0.0,0.03968764469027519,0.0,0.0,0.0,1,results/TSLA/seed_42/last_model_comparison_20260726_170844.csv
TSLA,previous_patch,0.04332321882247925,0.0,0.15021169185638428,0.0,0.4057377049180328,0.0,1,results/TSLA/seed_42/last_model_comparison_20260726_170844.csv
WMT,GRU,0.0010558427311480045,0.0,0.022220274433493614,0.0,0.4426229508196721,0.0,1,results/WMT/seed_42/last_model_comparison_20260726_171701.csv
WMT,TS-JEPA,0.0013231856282800436,0.0,0.027301263064146042,0.0,0.4918032786885246,0.0,1,results/WMT/seed_42/last_model_comparison_20260726_171701.csv
WMT,drift,0.0011291500247525112,0.0,0.023007271949931327,0.0,0.4672131147540984,0.0,1,results/WMT/seed_42/last_model_comparison_20260726_171701.csv
WMT,mean_context,0.00340840220451355,0.0,0.04668252542614937,0.0,0.00819672131147541,0.0,1,results/WMT/seed_42/last_model_comparison_20260726_171701.csv
WMT,naive_last,0.001057861722074449,0.0,0.022631367668509483,0.0,0.00819672131147541,0.0,1,results/WMT/seed_42/last_model_comparison_20260726_171701.csv
WMT,previous_patch,0.046363141387701035,0.0,0.11203745752573013,0.0,0.4918032786885246,0.0,1,results/WMT/seed_42/last_model_comparison_20260726_171701.csv
