rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.21314188838005066,-0.20360058546066284,-0.009541302919387817,0.009541302919387817,9.103646139951849e-05
0,2,1,-0.18876640498638153,-0.20164847373962402,0.012882068753242493,0.012882068753242493,0.0001659476953632666
0,3,2,-0.1800486147403717,-0.2639722228050232,0.08392360806465149,0.08392360806465149,0.0070431719905892365
0,4,3,-0.1902787834405899,-0.31812596321105957,0.12784717977046967,0.12784717977046967,0.016344901375262788
0,5,4,-0.19823090732097626,-0.29404956102371216,0.0958186537027359,0.0958186537027359,0.009181214397404824
1,1,1,-0.25997620820999146,-0.29144287109375,0.031466662883758545,0.031466662883758545,0.0009901508730401076
1,2,2,-0.2338096797466278,-0.1587815284729004,-0.07502815127372742,0.07502815127372742,0.005629223483553325
1,3,3,-0.23063015937805176,-0.20852035284042358,-0.022109806537628174,0.022109806537628174,0.0004888435451313455
1,4,4,-0.23354925215244293,-0.18379813432693481,-0.04975111782550812,0.04975111782550812,0.0024751737248875916
1,5,5,-0.2473614662885666,-0.18541687726974487,-0.061944589018821716,0.061944589018821716,0.003837132108710728
2,1,2,-0.1994793713092804,-0.18524444103240967,-0.014234930276870728,0.014234930276870728,0.00020263323998737093
2,2,3,-0.1695142239332199,-0.24123162031173706,0.07171739637851715,0.07171739637851715,0.005143384943313345
2,3,4,-0.16879531741142273,-0.2630165219306946,0.09422120451927185,0.09422120451927185,0.008877635381062454
2,4,5,-0.16935908794403076,-0.2962747812271118,0.12691569328308105,0.12691569328308105,0.016107593201525106
2,5,6,-0.18927237391471863,-0.28189677000045776,0.09262439608573914,0.09262439608573914,0.008579278750247887
3,1,3,-0.17841237783432007,-0.13266336917877197,-0.045749008655548096,0.045749008655548096,0.0020929717929654146
3,2,4,-0.1492263376712799,-0.10124975442886353,-0.04797658324241638,0.04797658324241638,0.0023017525396165084
3,3,5,-0.13478395342826843,-0.06257385015487671,-0.07221010327339172,0.07221010327339172,0.005214299014753898
