model,mse,mae,trend_accuracy
naive_last,0.0012236298061907291,0.02581946551799774,0.0
drift,0.0013853338031760288,0.027132163312215525,0.5081967213114754
TS-JEPA,0.0015701516531407833,0.030100490897893906,0.5286885245901639
GRU,0.0018973381957039237,0.032516833394765854,0.48360655737704916
mean_context,0.008421611972153187,0.07324088364839554,0.0
previous_patch,0.014405347406864166,0.09059292823076248,0.5204918032786885
