severity,status,stock,seed,method,strategy,source_file,details
warning,unsupported_model_row,AVGO,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/AVGO/seed_42/last_model_comparison_20260825_093110.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/AVGO/seed_42/last_model_comparison_20260825_093114.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/AVGO/seed_46/last_model_comparison_20260825_093534.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/AVGO/seed_46/last_model_comparison_20260825_093533.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/AVGO/seed_50/last_model_comparison_20260825_093953.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,AVGO,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/AVGO/seed_50/last_model_comparison_20260825_093956.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/COST/seed_42/last_model_comparison_20260825_094415.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/COST/seed_42/last_model_comparison_20260825_094416.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/COST/seed_46/last_model_comparison_20260825_094832.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/COST/seed_46/last_model_comparison_20260825_094836.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/COST/seed_50/last_model_comparison_20260825_095252.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,COST,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/COST/seed_50/last_model_comparison_20260825_095253.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,42,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/NVDA/seed_42/last_model_comparison_20260825_091807.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,42,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/NVDA/seed_42/last_model_comparison_20260825_091811.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,46,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/NVDA/seed_46/last_model_comparison_20260825_092228.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,46,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/NVDA/seed_46/last_model_comparison_20260825_092232.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,50,,local_long,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/local_long/NVDA/seed_50/last_model_comparison_20260825_092650.csv,Model 'previous_patch' is not part of the thesis method set
warning,unsupported_model_row,NVDA,50,,random,results/top10_with_sentiment_jepa_lam_1_mae_lam_1/random/NVDA/seed_50/last_model_comparison_20260825_092652.csv,Model 'previous_patch' is not part of the thesis method set
