model,mse,mae,trend_accuracy
naive_last,0.001556317787617445,0.02766188606619835,0.0
drift,0.0016968430711992671,0.02848429240760003,0.5
TS-JEPA,0.0019830965902656317,0.03299475088715553,0.5532786885245902
GRU,0.0020265013445168734,0.03239220753312111,0.5040983606557377
mean_context,0.009153274819254875,0.074851393699646,0.0
previous_patch,0.024271029978990555,0.10928090661764145,0.5286885245901639
