forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,30,2025-01-02T00:00:00,-0.015738213434815407,-0.060816168785095215,0.04507795721292496,0.04507795721292496,0.002032022226490293
relative_return,0,2,31,2025-01-03T00:00:00,-0.01341424509882927,0.016343116760253906,-0.029757361859083176,0.029757361859083176,0.0008855005848124181
relative_return,0,3,32,2025-01-06T00:00:00,0.027056094259023666,0.017853617668151855,0.009202476590871811,0.009202476590871811,8.468557540554367e-05
relative_return,0,4,33,2025-01-07T00:00:00,0.03956117108464241,-0.023474693298339844,0.06303586065769196,0.06303586065769196,0.0039735197288559565
relative_return,0,5,34,2025-01-08T00:00:00,0.020400773733854294,-0.022038400173187256,0.04243917390704155,0.04243917390704155,0.0018010834819121163
relative_return,1,1,35,2025-01-10T00:00:00,-0.027455050498247147,-0.0005064606666564941,-0.026948589831590652,0.026948589831590652,0.0007262264939113111
relative_return,1,2,36,2025-01-13T00:00:00,-0.0239381305873394,0.02119302749633789,-0.04513115808367729,0.04513115808367729,0.00203682142997387
relative_return,1,3,37,2025-01-14T00:00:00,-0.010597164742648602,0.0035954713821411133,-0.014192636124789715,0.014192636124789715,0.000201430920170686
relative_return,1,4,38,2025-01-15T00:00:00,-0.031601857393980026,0.08426594734191895,-0.11586780846118927,0.11586780846118927,0.013425349037598844
relative_return,1,5,39,2025-01-16T00:00:00,-0.038405511528253555,0.04780471324920654,-0.0862102210521698,0.0862102210521698,0.007432202213863981
relative_return,2,1,40,2025-01-17T00:00:00,-0.023033056408166885,0.03064131736755371,-0.053674373775720596,0.053674373775720596,0.002880938400215763
relative_return,2,2,41,2025-01-21T00:00:00,-0.006471751257777214,0.024769186973571777,-0.03124093823134899,0.03124093823134899,0.000975996221574963
relative_return,2,3,42,2025-01-22T00:00:00,0.009385916404426098,0.003117203712463379,0.006268712691962719,0.006268712691962719,3.929675881437448e-05
relative_return,2,4,43,2025-01-23T00:00:00,-0.013430781662464142,-0.00347977876663208,-0.009951002895832062,0.009951002895832062,9.902245863285808e-05
relative_return,2,5,44,2025-01-24T00:00:00,-0.004018955864012241,-0.017495572566986084,0.013476616702973843,0.013476616702973843,0.00018161919775887356
relative_return,3,1,45,2025-01-27T00:00:00,-0.03309014067053795,-0.02319347858428955,-0.009896662086248398,0.009896662086248398,9.794392044938649e-05
relative_return,3,2,46,2025-01-28T00:00:00,-0.05047941952943802,-0.020881474018096924,-0.029597945511341095,0.029597945511341095,0.0008760383784923165
relative_return,3,3,47,2025-01-29T00:00:00,-0.01850936748087406,-0.04299271106719971,0.024483343586325645,0.024483343586325645,0.0005994341131660731
relative_return,3,4,48,2025-01-30T00:00:00,-0.07659254223108292,-0.015495061874389648,-0.06109748035669327,0.06109748035669327,0.0037329021059365197
