model,forecast_target,mse,mae,trend_accuracy
naive_last,relative_return,0.0020790754351764917,0.03384985774755478,0.0
mean_context,relative_return,0.0021837549284100533,0.034351810812950134,0.5210526315789473
drift,relative_return,0.0022182012908160686,0.034110624343156815,0.5052631578947369
GRU,relative_return,0.0023431091103702784,0.03644828870892525,0.5
TS-JEPA,relative_return,0.003103837603703141,0.04265165701508522,0.4473684210526316
previous_patch,relative_return,0.004950917791575193,0.04863567277789116,0.46842105263157896
