epoch,train_loss,mse_loss,trend_loss,val_mse,val_mae,val_trend_acc
0,0.15666644896070162,0.13935259990394117,17.313846397399903,0.11408994346857071,0.26277095079421997,0.45
1,0.0188536969323953,0.013950360131760438,4.903336874643961,0.05235213041305542,0.18037042021751404,0.6166666666666667
2,0.008936580022176106,0.006069871659080187,2.866708183288574,0.01933552883565426,0.11108963191509247,0.5
3,0.005986112977067629,0.004043581507479151,1.942531402905782,0.01131463423371315,0.08293934911489487,0.5
4,0.005413315600405136,0.003689427503074209,1.7238880316416423,0.011186132207512856,0.08013718575239182,0.48333333333333334
5,0.005234183976426721,0.003593361595024665,1.6408222993214925,0.008590166456997395,0.07401561737060547,0.48333333333333334
6,0.004828338790684938,0.0032256284030154347,1.6027103106180827,0.007810122799128294,0.06999393552541733,0.45
7,0.0049031033180654045,0.0033621194927642745,1.5409836928049723,0.009827599860727787,0.07907668501138687,0.48333333333333334
8,0.004705714341253042,0.003346567538877328,1.359146777788798,0.006941176950931549,0.06761570274829865,0.43333333333333335
9,0.004686253610998392,0.0032835267794628937,1.4027267297108967,0.007445077411830425,0.0688234344124794,0.48333333333333334
10,0.004669457798202833,0.0031832234002649785,1.4862343708674113,0.005046622361987829,0.061474572867155075,0.48333333333333334
11,0.004737128922715783,0.003265250660479069,1.4718781948089599,0.005683119408786297,0.057611119002103806,0.55
12,0.004783008775363366,0.0034382873214781283,1.3447213649749756,0.005372927524149418,0.05884913355112076,0.45
13,0.004633200059955319,0.003338080598041415,1.2951193730036417,0.007040213327854872,0.07168318331241608,0.5833333333333334
14,0.004414066020399332,0.0031849942170083523,1.2290717283884685,0.00980923231691122,0.08656948059797287,0.5666666666666667
15,0.0044299292533348,0.0032212192735945186,1.2087099234263101,0.005267861764878035,0.05979127809405327,0.5166666666666667
16,0.004359769929821292,0.003083444464330872,1.2763254006703695,0.003913396969437599,0.05174138769507408,0.48333333333333334
17,0.004588244824359814,0.003181736341988047,1.4065084060033162,0.005727811250835657,0.05830835551023483,0.55
