forecast_target,rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,0,0.004099830985069275,0.01633143424987793,-0.012231603264808655,0.012231603264808655,0.00014961211842767774
relative_return,0,2,1,0.03938460722565651,0.018822669982910156,0.020561937242746353,0.020561937242746353,0.0004227932631746395
relative_return,0,3,2,0.0448799729347229,-0.06071227788925171,0.10559225082397461,0.10559225082397461,0.011149723434073167
relative_return,0,4,3,-0.05033703148365021,-0.12982100248336792,0.07948397099971771,0.07948397099971771,0.006317701645883966
relative_return,0,5,4,-0.03420446068048477,-0.09909576177597046,0.06489130109548569,0.06489130109548569,0.004210880957864982
relative_return,1,1,1,0.03290416672825813,-0.01372385025024414,0.046628016978502274,0.046628016978502274,0.0021741719673474963
relative_return,1,2,2,0.03079284355044365,0.17093408107757568,-0.14014123380184174,0.14014123380184174,0.01963956541150247
relative_return,1,3,3,0.048133693635463715,0.1017000675201416,-0.05356637388467789,0.05356637388467789,0.002869356411153101
relative_return,1,4,4,-0.030919251963496208,0.13611221313476562,-0.16703146696090698,0.16703146696090698,0.02789951095511256
relative_return,1,5,5,-0.036749500781297684,0.1338590383529663,-0.1706085354089737,0.1706085354089737,0.02910727235439503
relative_return,2,1,2,-0.020972076803445816,0.013458609580993652,-0.03443068638443947,0.03443068638443947,0.0011854721649036254
relative_return,2,2,3,0.02584794908761978,-0.056182801723480225,0.0820307508111,0.0820307508111,0.006729044078632784
relative_return,2,3,4,0.038771115243434906,-0.08328068256378174,0.12205179780721664,0.12205179780721664,0.014896641347973694
relative_return,2,4,5,0.07372069358825684,-0.12464994192123413,0.19837063550949097,0.19837063550949097,0.03935090903243932
relative_return,2,5,6,0.03760284185409546,-0.10676544904708862,0.14436829090118408,0.14436829090118408,0.02084220341772891
relative_return,3,1,3,0.00046232715249061584,0.03862881660461426,-0.03816648945212364,0.03816648945212364,0.0014566809170990652
relative_return,3,2,4,0.05297497659921646,0.07624638080596924,-0.023271404206752777,0.023271404206752777,0.0005415582537540709
relative_return,3,3,5,0.03805309534072876,0.12256050109863281,-0.08450740575790405,0.08450740575790405,0.007141501627931035
relative_return,3,4,6,-0.022548308596014977,0.09950459003448486,-0.12205290049314499,0.12205290049314499,0.014896910518789552
relative_return,3,5,7,-0.029341422021389008,0.10243701934814453,-0.13177844882011414,0.13177844882011414,0.01736555957343544
relative_return,4,1,4,-0.022175118327140808,-0.0009172558784484863,-0.021257862448692322,0.021257862448692322,0.0004518967158875231
relative_return,4,2,5,0.05452728271484375,0.023757100105285645,0.030770182609558105,0.030770182609558105,0.0009468041378255521
relative_return,4,3,6,0.03718679025769234,0.05026602745056152,-0.013079237192869186,0.013079237192869186,0.00017106644554733264
