model,forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
naive_last,relative_return,0,1,0,0.0,True
naive_last,relative_return,0,2,1,0.0,True
naive_last,relative_return,0,3,2,0.0,True
naive_last,relative_return,0,4,3,0.0,True
naive_last,relative_return,0,5,4,0.0,True
naive_last,relative_return,1,1,1,0.0,True
naive_last,relative_return,1,2,2,0.0,True
naive_last,relative_return,1,3,3,0.0,True
naive_last,relative_return,1,4,4,0.0,True
naive_last,relative_return,1,5,5,0.0,True
naive_last,relative_return,2,1,2,0.0,True
naive_last,relative_return,2,2,3,0.0,True
naive_last,relative_return,2,3,4,0.0,True
naive_last,relative_return,2,4,5,0.0,True
naive_last,relative_return,2,5,6,0.0,True
naive_last,relative_return,3,1,3,0.0,True
naive_last,relative_return,3,2,4,0.0,True
naive_last,relative_return,3,3,5,0.0,True
naive_last,relative_return,3,4,6,0.0,True
naive_last,relative_return,3,5,7,0.0,True
naive_last,relative_return,4,1,4,0.0,True
naive_last,relative_return,4,2,5,0.0,True
naive_last,relative_return,4,3,6,0.0,True
naive_last,relative_return,4,4,7,0.0,True
naive_last,relative_return,4,5,8,0.0,True
naive_last,relative_return,5,1,5,0.0,True
naive_last,relative_return,5,2,6,0.0,True
naive_last,relative_return,5,3,7,0.0,True
naive_last,relative_return,5,4,8,0.0,True
naive_last,relative_return,5,5,9,0.0,True
naive_last,relative_return,6,1,6,0.0,True
naive_last,relative_return,6,2,7,0.0,True
naive_last,relative_return,6,3,8,0.0,True
naive_last,relative_return,6,4,9,0.0,True
naive_last,relative_return,6,5,10,0.0,True
naive_last,relative_return,7,1,7,0.0,True
naive_last,relative_return,7,2,8,0.0,True
naive_last,relative_return,7,3,9,0.0,True
naive_last,relative_return,7,4,10,0.0,True
naive_last,relative_return,7,5,11,0.0,True
naive_last,relative_return,8,1,8,0.0,True
naive_last,relative_return,8,2,9,0.0,True
naive_last,relative_return,8,3,10,0.0,True
naive_last,relative_return,8,4,11,0.0,True
naive_last,relative_return,8,5,12,0.0,True
naive_last,relative_return,9,1,9,0.0,True
naive_last,relative_return,9,2,10,0.0,True
naive_last,relative_return,9,3,11,0.0,True
naive_last,relative_return,9,4,12,0.0,True
naive_last,relative_return,9,5,13,0.0,True
naive_last,relative_return,10,1,10,0.0,True
naive_last,relative_return,10,2,11,0.0,True
naive_last,relative_return,10,3,12,0.0,True
naive_last,relative_return,10,4,13,0.0,True
naive_last,relative_return,10,5,14,0.0,True
naive_last,relative_return,11,1,11,0.0,True
naive_last,relative_return,11,2,12,0.0,True
naive_last,relative_return,11,3,13,0.0,True
naive_last,relative_return,11,4,14,0.0,True
naive_last,relative_return,11,5,15,0.0,True
naive_last,relative_return,12,1,12,0.0,True
naive_last,relative_return,12,2,13,0.0,True
naive_last,relative_return,12,3,14,0.0,True
naive_last,relative_return,12,4,15,0.0,True
naive_last,relative_return,12,5,16,0.0,True
naive_last,relative_return,13,1,13,0.0,True
naive_last,relative_return,13,2,14,0.0,True
naive_last,relative_return,13,3,15,0.0,True
naive_last,relative_return,13,4,16,0.0,True
naive_last,relative_return,13,5,17,0.0,True
naive_last,relative_return,14,1,14,0.0,True
naive_last,relative_return,14,2,15,0.0,True
naive_last,relative_return,14,3,16,0.0,True
naive_last,relative_return,14,4,17,0.0,True
naive_last,relative_return,14,5,18,0.0,True
naive_last,relative_return,15,1,15,0.0,True
naive_last,relative_return,15,2,16,0.0,True
naive_last,relative_return,15,3,17,0.0,True
naive_last,relative_return,15,4,18,0.0,True
naive_last,relative_return,15,5,19,0.0,True
naive_last,relative_return,16,1,16,0.0,True
naive_last,relative_return,16,2,17,0.0,True
naive_last,relative_return,16,3,18,0.0,True
naive_last,relative_return,16,4,19,0.0,True
naive_last,relative_return,16,5,20,0.0,True
naive_last,relative_return,17,1,17,0.0,True
naive_last,relative_return,17,2,18,0.0,True
naive_last,relative_return,17,3,19,0.0,True
naive_last,relative_return,17,4,20,0.0,True
naive_last,relative_return,17,5,21,0.0,True
naive_last,relative_return,18,1,18,0.0,True
naive_last,relative_return,18,2,19,0.0,True
naive_last,relative_return,18,3,20,0.0,True
naive_last,relative_return,18,4,21,0.0,True
naive_last,relative_return,18,5,22,0.0,True
naive_last,relative_return,19,1,19,0.0,True
naive_last,relative_return,19,2,20,0.0,True
naive_last,relative_return,19,3,21,0.0,True
naive_last,relative_return,19,4,22,0.0,True
naive_last,relative_return,19,5,23,0.0,True
naive_last,relative_return,20,1,20,0.0,True
naive_last,relative_return,20,2,21,0.0,True
naive_last,relative_return,20,3,22,0.0,True
naive_last,relative_return,20,4,23,0.0,True
naive_last,relative_return,20,5,24,0.0,True
naive_last,relative_return,21,1,21,0.0,True
naive_last,relative_return,21,2,22,0.0,True
naive_last,relative_return,21,3,23,0.0,True
naive_last,relative_return,21,4,24,0.0,True
naive_last,relative_return,21,5,25,0.0,True
naive_last,relative_return,22,1,22,0.0,True
naive_last,relative_return,22,2,23,0.0,True
naive_last,relative_return,22,3,24,0.0,True
naive_last,relative_return,22,4,25,0.0,True
naive_last,relative_return,22,5,26,0.0,True
naive_last,relative_return,23,1,23,0.0,True
naive_last,relative_return,23,2,24,0.0,True
naive_last,relative_return,23,3,25,0.0,True
naive_last,relative_return,23,4,26,0.0,True
naive_last,relative_return,23,5,27,0.0,True
naive_last,relative_return,24,1,24,0.0,True
naive_last,relative_return,24,2,25,0.0,True
naive_last,relative_return,24,3,26,0.0,True
naive_last,relative_return,24,4,27,0.0,True
naive_last,relative_return,24,5,28,0.0,True
naive_last,relative_return,25,1,25,0.0,True
naive_last,relative_return,25,2,26,0.0,True
naive_last,relative_return,25,3,27,0.0,True
naive_last,relative_return,25,4,28,0.0,True
naive_last,relative_return,25,5,29,0.0,True
naive_last,relative_return,26,1,26,0.0,True
naive_last,relative_return,26,2,27,0.0,True
naive_last,relative_return,26,3,28,0.0,True
naive_last,relative_return,26,4,29,0.0,True
naive_last,relative_return,26,5,30,0.0,True
naive_last,relative_return,27,1,27,0.0,True
naive_last,relative_return,27,2,28,0.0,True
naive_last,relative_return,27,3,29,0.0,True
naive_last,relative_return,27,4,30,0.0,True
naive_last,relative_return,27,5,31,0.0,True
naive_last,relative_return,28,1,28,0.0,True
naive_last,relative_return,28,2,29,0.0,True
naive_last,relative_return,28,3,30,0.0,True
naive_last,relative_return,28,4,31,0.0,True
naive_last,relative_return,28,5,32,0.0,True
naive_last,relative_return,29,1,29,0.0,True
naive_last,relative_return,29,2,30,0.0,True
naive_last,relative_return,29,3,31,0.0,True
naive_last,relative_return,29,4,32,0.0,True
naive_last,relative_return,29,5,33,0.0,True
naive_last,relative_return,30,1,30,0.0,True
naive_last,relative_return,30,2,31,0.0,True
naive_last,relative_return,30,3,32,0.0,True
naive_last,relative_return,30,4,33,0.0,True
naive_last,relative_return,30,5,34,0.0,True
naive_last,relative_return,31,1,31,0.0,True
naive_last,relative_return,31,2,32,0.0,True
naive_last,relative_return,31,3,33,0.0,True
naive_last,relative_return,31,4,34,0.0,True
naive_last,relative_return,31,5,35,0.0,True
naive_last,relative_return,32,1,32,0.0,True
naive_last,relative_return,32,2,33,0.0,True
naive_last,relative_return,32,3,34,0.0,True
naive_last,relative_return,32,4,35,0.0,True
naive_last,relative_return,32,5,36,0.0,True
naive_last,relative_return,33,1,33,0.0,True
naive_last,relative_return,33,2,34,0.0,True
naive_last,relative_return,33,3,35,0.0,True
naive_last,relative_return,33,4,36,0.0,True
naive_last,relative_return,33,5,37,0.0,True
naive_last,relative_return,34,1,34,0.0,True
naive_last,relative_return,34,2,35,0.0,True
naive_last,relative_return,34,3,36,0.0,True
naive_last,relative_return,34,4,37,0.0,True
naive_last,relative_return,34,5,38,0.0,True
naive_last,relative_return,35,1,35,0.0,True
naive_last,relative_return,35,2,36,0.0,True
naive_last,relative_return,35,3,37,0.0,True
naive_last,relative_return,35,4,38,0.0,True
naive_last,relative_return,35,5,39,0.0,True
naive_last,relative_return,36,1,36,0.0,True
naive_last,relative_return,36,2,37,0.0,True
naive_last,relative_return,36,3,38,0.0,True
naive_last,relative_return,36,4,39,0.0,True
naive_last,relative_return,36,5,40,0.0,True
naive_last,relative_return,37,1,37,0.0,True
naive_last,relative_return,37,2,38,0.0,True
naive_last,relative_return,37,3,39,0.0,True
naive_last,relative_return,37,4,40,0.0,True
naive_last,relative_return,37,5,41,0.0,True
previous_patch,relative_return,0,1,0,-0.005930392071604729,True
previous_patch,relative_return,0,2,1,-0.06300967186689377,True
previous_patch,relative_return,0,3,2,-0.08220083266496658,True
previous_patch,relative_return,0,4,3,-0.09669721871614456,True
previous_patch,relative_return,0,5,4,-0.10732238739728928,True
previous_patch,relative_return,1,1,1,0.01633143052458763,True
previous_patch,relative_return,1,2,2,0.018822671845555305,True
previous_patch,relative_return,1,3,3,-0.060712262988090515,True
previous_patch,relative_return,1,4,4,-0.12982100248336792,True
previous_patch,relative_return,1,5,5,-0.09909574687480927,True
previous_patch,relative_return,2,1,2,-0.013723829761147499,True
previous_patch,relative_return,2,2,3,0.17093412578105927,True
previous_patch,relative_return,2,3,4,0.10170017182826996,True
previous_patch,relative_return,2,4,5,0.13611222803592682,True
previous_patch,relative_return,2,5,6,0.1338590383529663,True
previous_patch,relative_return,3,1,3,0.01345864124596119,True
previous_patch,relative_return,3,2,4,-0.056182827800512314,True
previous_patch,relative_return,3,3,5,-0.08328064531087875,True
previous_patch,relative_return,3,4,6,-0.12464993447065353,True
previous_patch,relative_return,3,5,7,-0.10676538199186325,True
previous_patch,relative_return,4,1,4,0.03862878307700157,True
previous_patch,relative_return,4,2,5,0.07624631375074387,True
previous_patch,relative_return,4,3,6,0.12256038933992386,True
previous_patch,relative_return,4,4,7,0.09950456768274307,True
previous_patch,relative_return,4,5,8,0.10243698954582214,True
previous_patch,relative_return,5,1,5,-0.0009172373684123158,True
previous_patch,relative_return,5,2,6,0.023757169023156166,True
previous_patch,relative_return,5,3,7,0.05026605352759361,True
previous_patch,relative_return,5,4,8,0.0440286286175251,True
previous_patch,relative_return,5,5,9,0.041460346430540085,True
previous_patch,relative_return,6,1,6,0.03100222907960415,True
previous_patch,relative_return,6,2,7,0.03373259678483009,True
previous_patch,relative_return,6,3,8,0.027391230687499046,True
previous_patch,relative_return,6,4,9,0.08331865072250366,True
previous_patch,relative_return,6,5,10,0.14435435831546783,True
previous_patch,relative_return,7,1,7,0.04163779318332672,True
previous_patch,relative_return,7,2,8,0.03771268203854561,True
previous_patch,relative_return,7,3,9,0.04209959879517555,True
previous_patch,relative_return,7,4,10,0.04340810328722,True
previous_patch,relative_return,7,5,11,0.03424929454922676,True
previous_patch,relative_return,8,1,8,-0.019199304282665253,True
previous_patch,relative_return,8,2,9,-0.011534517630934715,True
previous_patch,relative_return,8,3,10,-0.022994590923190117,True
previous_patch,relative_return,8,4,11,0.008334479294717312,True
previous_patch,relative_return,8,5,12,0.0031998069025576115,True
previous_patch,relative_return,9,1,9,0.03249020501971245,True
previous_patch,relative_return,9,2,10,0.0023737833835184574,True
previous_patch,relative_return,9,3,11,0.019063936546444893,True
previous_patch,relative_return,9,4,12,0.04754841327667236,True
previous_patch,relative_return,9,5,13,0.0527409166097641,True
previous_patch,relative_return,10,1,10,-0.013599211350083351,True
previous_patch,relative_return,10,2,11,-0.0014092783676460385,True
previous_patch,relative_return,10,3,12,0.0050028543919324875,True
previous_patch,relative_return,10,4,13,0.014374303631484509,True
previous_patch,relative_return,10,5,14,0.006412059534341097,True
previous_patch,relative_return,11,1,11,0.015192884020507336,True
previous_patch,relative_return,11,2,12,-0.006021150387823582,True
previous_patch,relative_return,11,3,13,0.01302250288426876,True
previous_patch,relative_return,11,4,14,0.009031652472913265,True
previous_patch,relative_return,11,5,15,0.018553515896201134,True
previous_patch,relative_return,12,1,12,-0.011204276233911514,True
previous_patch,relative_return,12,2,13,-0.009004665538668633,True
previous_patch,relative_return,12,3,14,0.016634538769721985,True
previous_patch,relative_return,12,4,15,0.0606955885887146,True
previous_patch,relative_return,12,5,16,0.06557609140872955,True
previous_patch,relative_return,13,1,13,0.01761055365204811,True
previous_patch,relative_return,13,2,14,0.019158804789185524,True
previous_patch,relative_return,13,3,15,-0.011095353402197361,True
previous_patch,relative_return,13,4,16,0.01438518613576889,True
previous_patch,relative_return,13,5,17,0.027867315337061882,True
previous_patch,relative_return,14,1,14,-0.006903414614498615,True
previous_patch,relative_return,14,2,15,0.004142061807215214,True
previous_patch,relative_return,14,3,16,0.02221664786338806,True
previous_patch,relative_return,14,4,17,0.029873264953494072,True
previous_patch,relative_return,14,5,18,0.035019468516111374,True
previous_patch,relative_return,15,1,15,-0.00515399593859911,True
previous_patch,relative_return,15,2,16,0.035047274082899094,True
previous_patch,relative_return,15,3,17,0.03910984843969345,True
previous_patch,relative_return,15,4,18,0.048993416130542755,True
previous_patch,relative_return,15,5,19,0.04541598632931709,True
previous_patch,relative_return,16,1,16,-0.005974156782031059,True
previous_patch,relative_return,16,2,17,-0.03120472840964794,True
previous_patch,relative_return,16,3,18,-0.009454256854951382,True
previous_patch,relative_return,16,4,19,0.007714146748185158,True
previous_patch,relative_return,16,5,20,0.006322118919342756,True
previous_patch,relative_return,17,1,17,0.018731944262981415,True
previous_patch,relative_return,17,2,18,0.011584954336285591,True
previous_patch,relative_return,17,3,19,0.03325650095939636,True
previous_patch,relative_return,17,4,20,0.025187261402606964,True
previous_patch,relative_return,17,5,21,0.001268023974262178,True
previous_patch,relative_return,18,1,18,0.03615008294582367,True
previous_patch,relative_return,18,2,19,0.026133911684155464,True
previous_patch,relative_return,18,3,20,0.032811399549245834,True
previous_patch,relative_return,18,4,21,0.04058254882693291,True
previous_patch,relative_return,18,5,22,0.05169231817126274,True
previous_patch,relative_return,19,1,19,-0.0035030036233365536,True
previous_patch,relative_return,19,2,20,0.002517854794859886,True
previous_patch,relative_return,19,3,21,-0.006075557321310043,True
previous_patch,relative_return,19,4,22,-0.003721912857145071,True
previous_patch,relative_return,19,5,23,-0.012315268628299236,True
