method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.0027041140452197686,0.001770244304732914,0.03716354376240935,0.011906888830858931,0.5076842105263157,0.022020444346590708,5.5,5.5,3.5,0,0,0,0,1,1,10,10
Local-MAE/Long-JEPA,0.0024772792410660193,0.0015053645021882306,0.03570383470850123,0.010056056408211538,0.5100526315789473,0.025807309741091536,5.5,5.5,3.1,0,0,0,0,1,1,10,10
GRU,0.00164814363572015,0.0010459997932824236,0.028152101710181343,0.009188862322768113,0.5027894736842106,0.026755450079499747,2.4,3.0,3.8,2,5,2,2,2,0,10,10
Naive-last,0.001534448669108494,0.0009444506995886171,0.026278515207140023,0.008445266071844008,0.0010526315789473684,0.0022191422176620207,1.2,1.2,6.0,8,2,8,2,0,0,10,10
Drift,0.0017219477495735414,0.001142619831585388,0.027187390429455793,0.008842151168406831,0.5178947368421053,0.033397906061167146,3.6,2.5,2.6,0,0,0,5,5,2,10,10
Mean-context,0.001696871591607511,0.0011123783743090458,0.027398993599334398,0.009033264052045725,0.521578947368421,0.03181684271664185,2.8,3.3,2.0,0,3,0,1,6,2,10,10
