metric,n_stocks,mean_delta,median_delta,t_statistic,p_value,cohens_dz,status
MSE,10,0.0002268348041537492,3.245881783405175e-05,1.2036737929610777,0.2594186063063506,0.3806350745610954,ok
MAE,10,0.001459709053908129,0.0005463189741988662,1.4264146912132671,0.1875024922593358,0.45107193121596917,ok
