stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.0013965202802270176,7.63360174231156e-05,0.024663382945398406,0.0010797092304315379,0.5073684210526316,0.03695471511903572,5,5
AAPL,GRU,0.001217102905122008,1.0605364837703008e-05,0.021921040614282572,0.00020824982608562973,0.5221052631578947,0.025350725429036436,5,5
AAPL,Naive-last,0.0011798756895860015,0.0,0.021244387563906172,0.0,0.0,0.0,5,5
AAPL,Drift,0.0012747009444681228,0.0,0.02219199894186056,0.0,0.5052631578947369,0.0,5,5
AAPL,Mean-context,0.001263728225575065,0.0,0.02236560787791137,0.0,0.5052631578947369,0.0,5,5
AVGO,Shared-target JEPA--MAE,0.0035394503939372734,0.0005379358704276169,0.04335289813896735,0.004139927515376428,0.5494736842105263,0.0329945853024368,5,5
AVGO,GRU,0.0026599757477752456,2.269500027662394e-05,0.035875835459385226,0.00018984651203482174,0.531578947368421,0.024965349948697726,5,5
AVGO,Naive-last,0.002836211787960418,0.0,0.03605036139488216,0.0,0.0,0.0,5,5
AVGO,Drift,0.0030857812923982837,0.0,0.03669529038467624,0.0,0.5368421052631579,0.0,5,5
AVGO,Mean-context,0.003056635646622903,0.0,0.03716328597848153,0.0,0.5368421052631579,0.0,5,5
NVDA,Shared-target JEPA--MAE,0.002292017144992895,0.0001475081439620289,0.036248161747904545,0.0020739915399101633,0.5526315789473684,0.034311591606329725,5,5
NVDA,GRU,0.002312735735288249,6.987449527307749e-05,0.0352857327838673,0.0004219078543323243,0.5463157894736842,0.01256561724875085,5,5
NVDA,Naive-last,0.0020790753562398285,0.0,0.033849857982836226,0.0,0.0,0.0,5,5
NVDA,Drift,0.0022182012412194844,0.0,0.0341106216471847,0.0,0.5052631578947369,0.0,5,5
NVDA,Mean-context,0.002183755134313742,0.0,0.034351809296410754,0.0,0.5210526315789473,0.0,5,5
TSLA,Shared-target JEPA--MAE,0.004317684679792314,0.0004891693320004981,0.05018647464997082,0.003928957647079396,0.5273684210526316,0.036729150152353514,5,5
TSLA,GRU,0.0034012405397303193,6.829765178039798e-05,0.04174214610792417,0.0006216307583635687,0.4936842105263158,0.03838859479749572,5,5
TSLA,Naive-last,0.003348080612708749,0.0,0.041366781372772984,0.0,0.0,0.0,5,5
TSLA,Drift,0.0041565183002235185,0.0,0.04401976425318643,0.0,0.5263157894736842,0.0,5,5
TSLA,Mean-context,0.0040444618193305444,0.0,0.044699986263999264,0.0,0.5263157894736842,0.0,5,5
WMT,Shared-target JEPA--MAE,0.0008161161398868753,8.168575627516389e-05,0.021116652547651372,0.0015431013962966865,0.5263157894736843,0.01784823679769806,5,5
WMT,GRU,0.0006832006292791518,6.468287086823092e-06,0.018490128178443525,0.0001201514643075156,0.5263157894736843,0.008321783316232565,5,5
WMT,Naive-last,0.0007212958157049027,0.0,0.018834191874453853,0.0,0.005263157894736842,0.0,5,5
WMT,Drift,0.0007714394485388129,0.0,0.019366072521418188,0.0,0.4473684210526316,0.0,5,5
WMT,Mean-context,0.0007691176659041279,0.0,0.01937628575277282,0.0,0.4526315789473684,0.0,5,5
