model,forecast_target,rmse,trend_accuracy
TS-JEPA,relative_return,0.10075226426124573,0.5333333333333333
GRU,relative_return,0.1039547249674797,0.45
mean_context,relative_return,0.1044137179851532,0.5666666666666667
drift,relative_return,0.10552143305540085,0.6
naive_last,relative_return,0.10982126742601395,0.0
