stock,method,rmse_mean,rmse_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.021136509140799745,0.0009831443132129083,0.5833333333333334,0.06009252125773313,3,3
AAPL,GRU,0.01962281273913522,0.00037055633539237367,0.5944444444444444,0.00962250448649373,3,3
AAPL,Naive-last,0.020592269525549253,0.0,0.016666666666666666,0.0,3,3
AAPL,Drift,0.02077540599832511,0.0,0.55,0.0,3,3
AAPL,Mean-context,0.02075290563884098,0.0,0.55,0.0,3,3
AVGO,Shared-target JEPA--MAE,0.08188714004811477,0.0033371222017286547,0.5166666666666667,0.04409585518440982,3,3
AVGO,GRU,0.08162118299243902,0.00048305701644926286,0.45,0.04999999999999999,3,3
AVGO,Naive-last,0.08331296449605514,0.0,0.0,0.0,3,3
AVGO,Drift,0.08194646875267826,0.0,0.45,0.0,3,3
AVGO,Mean-context,0.08162663051319047,0.0,0.5,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.05199984058102514,0.0031183419092255613,0.5555555555555556,0.06309898162000306,3,3
NVDA,GRU,0.050034775862026794,0.0019821900064954734,0.6166666666666667,0.01666666666666669,3,3
NVDA,Naive-last,0.04985049112890518,0.0,0.0,0.0,3,3
NVDA,Drift,0.0532118569045845,0.0,0.4666666666666666,0.0,3,3
NVDA,Mean-context,0.05344025364427563,0.0,0.4666666666666666,0.0,3,3
TSLA,Shared-target JEPA--MAE,0.10370219824587117,0.0030776972356990253,0.5666666666666668,0.04409585518440982,3,3
TSLA,GRU,0.0995443394029164,0.004745227718110038,0.5333333333333333,0.016666666666666635,3,3
TSLA,Naive-last,0.10982127077521016,0.0,0.0,0.0,3,3
TSLA,Drift,0.1055214338093673,0.0,0.6,0.0,3,3
TSLA,Mean-context,0.1044137175290573,0.0,0.5666666666666667,0.0,3,3
WMT,Shared-target JEPA--MAE,0.024263836006028393,0.0046765747564624744,0.45555555555555555,0.04194352464039303,3,3
WMT,GRU,0.015106290416973476,0.0001532338413316235,0.5277777777777778,0.04194352464039303,3,3
WMT,Naive-last,0.016129741750738388,0.0,0.016666666666666666,0.0,3,3
WMT,Drift,0.01582508490912398,0.0,0.6166666666666667,0.0,3,3
WMT,Mean-context,0.016087009468438915,0.0,0.6166666666666667,0.0,3,3
