stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,-0.8893457447642469,3
AAPL,GRU,4.707867606390867,3
AAPL,Mean-context,-0.7800796949186241,3
AAPL,Shared-target JEPA--MAE,-2.642931681596537,3
AVGO,Drift,1.6401957986281797,3
AVGO,GRU,2.03063414421681,3
AVGO,Mean-context,2.024095521105271,3
AVGO,Shared-target JEPA--MAE,1.711407650135742,3
NVDA,Drift,-6.742894000757956,3
NVDA,GRU,-0.3696748596620327,3
NVDA,Mean-context,-7.201057470202078,3
NVDA,Shared-target JEPA--MAE,-4.311591327279202,3
TSLA,Drift,3.915304326284907,3
TSLA,GRU,9.357869654713156,3
TSLA,Mean-context,4.923957998283789,3
TSLA,Shared-target JEPA--MAE,5.571846406570866,3
WMT,Drift,1.8887893329132837,3
WMT,GRU,6.345119156777943,3
WMT,Mean-context,0.26492849643743355,3
WMT,Shared-target JEPA--MAE,-50.42916607711741,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
