method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.05659790480436784,0.03599480747935278,0.5355555555555556,0.05100835080505793,3.6,2.2,0,1,1,3,5,5
GRU,0.05318588028269818,0.03722948192810735,0.5444444444444445,0.06526300069150406,1.2,2.5,4,1,2,0,5,5
Naive-last,0.05594134753529163,0.040385242807345526,0.006666666666666666,0.009128709291752768,3.4,5.0,1,1,0,0,5,5
Drift,0.055456050074815834,0.038686825298563064,0.5366666666666666,0.07582875444051551,3.6,2.6,0,1,2,0,5,5
Mean-context,0.05526410335876066,0.03820949257904564,0.5399999999999999,0.058452259722500635,3.2,2.7,0,1,1,1,5,5
