model,forecast_target,rmse,trend_accuracy
GRU,relative_return,0.014984753914177418,0.5333333333333333
drift,relative_return,0.01582508347928524,0.6166666666666667
mean_context,relative_return,0.016087008640170097,0.6166666666666667
naive_last,relative_return,0.016129741445183754,0.016666666666666666
TS-JEPA,relative_return,0.019033487886190414,0.5333333333333333
