stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Local-MAE/Long-JEPA,3,-0.0006116885089521561,2.7528435386117245
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Local-MAE/Long-JEPA,3,-0.0030055728295021087,4.176349935218439
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Local-MAE/Long-JEPA,3,-0.0028506187283720724,4.949159867692905
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Local-MAE/Long-JEPA,3,-0.0031870754082115407,3.6367454826642898
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Local-MAE/Long-JEPA,3,-0.0015819291651834922,8.659818084869173
