model,n_stocks,mean_delta_rmse,median_delta_rmse,relative_rmse_improvement_pct,rmse_ci_low,rmse_ci_high,rmse_wilcoxon_statistic,rmse_p_value,rmse_holm_p_value,rmse_rank_biserial,rmse_wilcoxon_n,rmse_stock_wins,rmse_stock_losses,rmse_stock_ties,rmse_run_wins,rmse_run_total
Local-MAE/Long-JEPA,5,-0.002247376928044274,-0.0028506187283720724,4.834983381811306,-0.003047183040759874,-0.0012845135043084142,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
GRU,5,-0.0026233265695790385,-0.002783839329527046,6.605446397599247,-0.0033762994586687112,-0.0016680960402261648,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
