method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.6226085050855211,0.7820938773844415,0.5030744301143446,0.40548340365919633,0.5134210526315789,0.036752711095280936,4.8,4.4,2.8,0,0,0,0,1,1,5,5
Local-MAE/Long-JEPA,0.48172153138192775,0.6968603288620009,0.4151460299491882,0.4109218599030673,0.508421052631579,0.01752026922724113,3.4,3.2,2.4,0,0,0,0,0,3,5,5
GRU,0.9638718680689748,1.3045841250812686,0.6095960302603872,0.5737684435228354,0.5002631578947369,0.013559655818934986,5.2,5.2,3.2,0,0,0,0,0,1,5,5
Naive-last,0.033734020215196545,0.031566736817977045,0.12650691684923673,0.06592690989026868,0.0,0.0,1.0,1.0,5.5,5,0,5,0,0,0,5,5
Drift,0.03576051245007096,0.03289136695752802,0.13039147088402198,0.06539471443660888,0.5513157894736842,0.03819190861499996,2.0,2.0,1.6,0,5,0,5,4,0,5,5
Mean-context,0.3456570825725569,0.3305321220786614,0.4432328973318401,0.23827385724986844,0.0,0.0,4.6,5.2,5.5,0,0,0,0,0,0,5,5
