metric,n_stocks,mean_delta,median_delta,t_statistic,p_value,cohens_dz,status
MSE,5,0.14088697370359324,0.0763992869127692,2.226008912514078,0.09000906467054604,0.9955014493803719,ok
MAE,5,0.08792840016515632,0.0932892538371839,5.882751883182472,0.004173276871102249,2.6308466211121817,ok
