stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Shared-target JEPA--MAE,3,-0.0002690227739281595,1.2107103437600488
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Shared-target JEPA--MAE,3,-0.002299031150586046,3.1945852393155163
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Shared-target JEPA--MAE,3,-0.0016643628307669532,2.8896174873641023
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Shared-target JEPA--MAE,3,-0.003479601218557999,3.97054427405755
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Shared-target JEPA--MAE,3,-0.0005883217683781359,3.2205990013037264
