Date,Open,High,Low,Close,Volume,sentiment_mean,sentiment_sum,sentiment_max,sentiment_min,sentiment_std,news_count
2015-01-02,78.58000183105469,78.93000030517578,77.69999694824219,78.44999694824219,18177500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,77.9800033569336,79.25,76.86000061035156,77.19000244140625,26452200,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,77.2300033569336,77.58999633789062,75.36000061035156,76.1500015258789,27399300,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,76.76000213623047,77.36000061035156,75.81999969482422,76.1500015258789,22045300,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,76.73999786376953,78.2300033569336,76.08000183105469,78.18000030517578,23961000,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,78.19999694824219,78.62000274658203,77.19999694824219,77.73999786376953,21157000,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,77.83999633789062,78.0,76.20999908447266,76.72000122070312,19190200,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,77.2300033569336,78.08000183105469,75.8499984741211,76.44999694824219,25179600,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,76.41999816894531,77.19999694824219,76.02999877929688,76.27999877929688,25918600,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,76.4000015258789,76.56999969482422,73.54000091552734,74.05000305175781,34134000,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,74.04000091552734,75.31999969482422,73.83999633789062,75.18000030517578,21791500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-20,75.72000122070312,76.30999755859375,74.81999969482422,76.23999786376953,22821600,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,76.16000366210938,77.30000305175781,75.8499984741211,76.73999786376953,25096700,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-22,77.16999816894531,77.75,76.68000030517578,77.6500015258789,19519500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,77.6500015258789,78.19000244140625,77.04000091552734,77.83000183105469,16746500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,77.9800033569336,78.47000122070312,77.29000091552734,77.5,19260800,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-27,76.70999908447266,76.87999725341797,75.62999725341797,75.77999877929688,20110000,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,76.9000015258789,77.63999938964844,76.0,76.23999786376953,53306400,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,76.8499984741211,78.0199966430664,74.20999908447266,78.0,61293500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,78.0,78.16000366210938,75.75,75.91000366210938,42649500,0.0,0.0,0.0,0.0,0.0,0.0
