date,sentiment_mean,sentiment_sum,sentiment_max,sentiment_min,sentiment_std,news_count
2021-06-30,0.0747042503207922,0.0747042503207922,0.0747042503207922,0.0747042503207922,0.0,1
2021-07-28,0.4003909705206752,0.4003909705206752,0.4003909705206752,0.4003909705206752,0.0,1
2021-08-26,0.06337718944996595,0.06337718944996595,0.06337718944996595,0.06337718944996595,0.0,1
2021-10-28,0.12304516835138202,0.24609033670276403,0.12455911189317703,0.121531224809587,0.0021410394894736695,2
2021-11-01,0.03279175981879234,0.03279175981879234,0.03279175981879234,0.03279175981879234,0.0,1
2021-11-22,0.19480271684005857,0.19480271684005857,0.19480271684005857,0.19480271684005857,0.0,1
2021-11-27,0.11967913433909416,0.11967913433909416,0.11967913433909416,0.11967913433909416,0.0,1
2021-12-07,0.13514003809541464,0.13514003809541464,0.13514003809541464,0.13514003809541464,0.0,1
2021-12-10,0.06404828373342752,0.06404828373342752,0.06404828373342752,0.06404828373342752,0.0,1
2021-12-22,0.15154232643544674,0.15154232643544674,0.15154232643544674,0.15154232643544674,0.0,1
2021-12-30,0.36508644837886095,0.36508644837886095,0.36508644837886095,0.36508644837886095,0.0,1
2022-01-03,0.06841639429330826,0.06841639429330826,0.06841639429330826,0.06841639429330826,0.0,1
2022-01-16,0.9059315826743841,0.9059315826743841,0.9059315826743841,0.9059315826743841,0.0,1
2022-02-01,-0.3639844208955765,-0.3639844208955765,-0.3639844208955765,-0.3639844208955765,0.0,1
2022-02-02,-0.0015067290514707565,-0.003013458102941513,0.0073098428547382355,-0.010323300957679749,0.012468515563398367,2
2022-02-03,-0.24812234076671302,-0.9924893630668521,0.9332544766366482,-0.9679144858382642,0.9098120797479715,4
2022-02-04,0.8501416184008121,0.8501416184008121,0.8501416184008121,0.8501416184008121,0.0,1
2022-02-07,-0.21323185227811337,-0.21323185227811337,-0.21323185227811337,-0.21323185227811337,0.0,1
2022-03-15,-0.38973357528448105,-0.38973357528448105,-0.38973357528448105,-0.38973357528448105,0.0,1
2022-05-11,0.2385682761669159,0.2385682761669159,0.2385682761669159,0.2385682761669159,0.0,1
2022-06-09,-0.21390543257196745,-0.6417162977159023,0.04697519354522228,-0.6649364978075027,0.39220206041509925,3
2022-06-10,-0.1983935561729595,-1.587148449383676,0.45535782165825367,-0.96802151016891,0.47119938303181613,8
2022-06-11,-0.5158377718180418,-0.5158377718180418,-0.5158377718180418,-0.5158377718180418,0.0,1
2022-06-12,0.015686905942857265,0.03137381188571453,0.01589406467974186,0.015479747205972672,0.0002929666952662723,2
2022-06-13,0.15814497657120227,0.7907248828560114,0.8818079782649875,-0.7031289115548134,0.6219821346668928,5
