stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0006017017371952697,2.707899061643161
AAPL,Shared-target JEPA--MAE,3,0.00040470461296014903,-1.8213330192227701
AVGO,GRU,3,-0.0032471250603660212,4.511995318294212
AVGO,Shared-target JEPA--MAE,3,-0.005643474336074876,7.84180754048725
NVDA,GRU,3,-0.00238489488553556,4.140583915583557
NVDA,Shared-target JEPA--MAE,3,0.000261628707609154,-0.45423201884141234
TSLA,GRU,3,-0.00153637288550168,1.753142437935461
TSLA,Shared-target JEPA--MAE,3,-0.0038822435769646176,4.429996150938705
WMT,GRU,3,-0.0015972813777048202,8.74385937480868
WMT,Shared-target JEPA--MAE,3,-0.0008562299866804573,4.68718580240769
