model,mse,mae,trend_accuracy
naive_last,0.0010061414213851094,0.022336257621645927,0.0
previous_patch,0.017073625698685646,0.09301435202360153,0.5122950819672131
mean_context,0.007031710352748632,0.06921769678592682,0.0
drift,0.0010764438140203438,0.02290335070733296,0.4918032786885246
