model,mse,mae,trend_accuracy
naive_last,0.0012236298061907291,0.02581946551799774,0.0
GRU,0.0013686256716027856,0.027959566563367844,0.47540983606557374
drift,0.0013853338031760288,0.027132163312215525,0.5081967213114754
TS-JEPA,0.0018677794141694903,0.031818728893995285,0.5327868852459017
mean_context,0.008421611972153187,0.07324088364839554,0.0
previous_patch,0.022900018841028214,0.10670944303274155,0.5409836065573771
