dataset,model,mean_rmse,std_rmse,num_runs,rmse_difference_vs_naive,relative_improvement_vs_naive_pct
MNIST_ROWS,JEPA-MAE,0.10891726613044739,,1,-0.13731226325035095,55.765960969691456
MNIST_ROWS,JEPA-only,0.14645253121852875,,1,-0.09977699816226959,40.52194649974849
MNIST_ROWS,MAE-only,0.1091107651591301,,1,-0.13711876422166824,55.68737615122175
MNIST_ROWS,GRU,0.1702006608247757,,1,-0.07602886855602264,30.877234240432085
MNIST_ROWS,Naive-last,0.24622952938079834,,1,0.0,0.0
MNIST_ROWS,Drift,0.2782523036003113,,1,0.03202277421951294,-13.00525339102978
MNIST_ROWS,Mean-context,0.27828171849250793,,1,0.032052189111709595,-13.017199517991319
SIN_COS,JEPA-MAE,0.008631282486021519,,1,-0.0809653615579009,90.36651140438892
SIN_COS,JEPA-only,0.009168757125735283,,1,-0.08042788691818714,89.7666288469013
SIN_COS,MAE-only,0.008288069628179073,,1,-0.08130857441574335,90.74957581657182
SIN_COS,GRU,0.0028741522692143917,,1,-0.08672249177470803,96.79212062027077
SIN_COS,Naive-last,0.08959664404392242,,1,0.0,0.0
SIN_COS,Drift,0.09266380220651627,,1,0.0030671581625938416,-3.423295811269722
SIN_COS,Mean-context,0.07416389137506485,,1,-0.015432752668857574,17.22469946674796
