dataset,model,seed,sample_index,mse,rmse
MNIST_ROWS,JEPA-MAE,7,0,0.004645565719317066,0.06815838700642105
MNIST_ROWS,JEPA-MAE,7,1,0.005683419006255801,0.07538845406463646
MNIST_ROWS,JEPA-MAE,7,2,0.00848250069649689,0.09210049237923155
MNIST_ROWS,JEPA-MAE,7,3,0.018032776554751054,0.13428617410124935
MNIST_ROWS,JEPA-MAE,7,4,0.008421320439877731,0.09176775272326185
MNIST_ROWS,JEPA-MAE,7,5,0.0061320716874785595,0.07830754553348329
MNIST_ROWS,JEPA-MAE,7,6,0.008704704362991918,0.09329900515542446
MNIST_ROWS,JEPA-MAE,7,7,0.0018324196538718094,0.04280677112177242
MNIST_ROWS,JEPA-MAE,7,8,0.011964712745012134,0.1093833293743253
MNIST_ROWS,JEPA-MAE,7,9,0.007868056513338016,0.08870206600377477
MNIST_ROWS,JEPA-MAE,7,10,0.010164115660860305,0.10081723890714477
MNIST_ROWS,JEPA-MAE,7,11,0.004916513029409009,0.07011785100392773
MNIST_ROWS,JEPA-MAE,7,12,0.0017424745932082281,0.041742958606311414
MNIST_ROWS,JEPA-MAE,7,13,0.012121898367752886,0.11009949304039908
MNIST_ROWS,JEPA-MAE,7,14,0.0017218946524999554,0.04149571848395874
MNIST_ROWS,JEPA-MAE,7,15,0.0047370849858236665,0.06882648462491504
MNIST_ROWS,JEPA-MAE,7,16,0.009373134986005043,0.09681495228530065
MNIST_ROWS,JEPA-MAE,7,17,0.004419930281174622,0.06648255621721101
MNIST_ROWS,JEPA-MAE,7,18,0.018449814795020343,0.13583009532139903
MNIST_ROWS,JEPA-MAE,7,19,0.013942489385009008,0.11807831886086881
MNIST_ROWS,JEPA-MAE,7,20,0.016955112848207048,0.1302117999576346
MNIST_ROWS,JEPA-MAE,7,21,0.002781856137628074,0.052743304197102346
MNIST_ROWS,JEPA-MAE,7,22,0.014713421613618613,0.12129889370319341
MNIST_ROWS,JEPA-MAE,7,23,0.02378993526639119,0.15423986276702656
MNIST_ROWS,JEPA-MAE,7,24,0.0036506247872638018,0.06042040042290188
MNIST_ROWS,JEPA-MAE,7,25,0.003104957443044517,0.05572214499680102
MNIST_ROWS,JEPA-MAE,7,26,0.018294793886338298,0.13525824886615345
MNIST_ROWS,JEPA-MAE,7,27,0.020899733947992986,0.14456740278497426
MNIST_ROWS,JEPA-MAE,7,28,0.008116805530742505,0.09009331568292125
MNIST_ROWS,JEPA-MAE,7,29,0.015261643970377237,0.12353802641444955
MNIST_ROWS,JEPA-MAE,7,30,0.001997073343514827,0.044688626556595216
MNIST_ROWS,JEPA-MAE,7,31,0.016126363029279413,0.1269896178011392
MNIST_ROWS,JEPA-MAE,7,32,0.003150589066081179,0.05613010837403736
MNIST_ROWS,JEPA-MAE,7,33,0.015385888661031084,0.12403986722433673
MNIST_ROWS,JEPA-MAE,7,34,0.008241872511666939,0.09078475924772252
MNIST_ROWS,JEPA-MAE,7,35,0.013530609207550682,0.11632114686311634
MNIST_ROWS,JEPA-MAE,7,36,0.007998278757923336,0.08943309654665513
MNIST_ROWS,JEPA-MAE,7,37,0.003938330983513059,0.06275612307586455
MNIST_ROWS,JEPA-MAE,7,38,0.02470302007058327,0.1571719442858148
MNIST_ROWS,JEPA-MAE,7,39,0.02614618008376772,0.16169780482049756
MNIST_ROWS,JEPA-MAE,7,40,0.039750953713637405,0.19937641212951296
MNIST_ROWS,JEPA-MAE,7,41,0.02080062094584268,0.14422420374487316
MNIST_ROWS,JEPA-MAE,7,42,0.007422509642935007,0.08615398796883988
MNIST_ROWS,JEPA-MAE,7,43,0.005663113670337204,0.07525366217226377
MNIST_ROWS,JEPA-MAE,7,44,0.013396259965212827,0.11574221341072076
MNIST_ROWS,JEPA-MAE,7,45,0.010943469449084552,0.10461103884908395
MNIST_ROWS,JEPA-MAE,7,46,0.016527626139674224,0.1285598154155264
MNIST_ROWS,JEPA-MAE,7,47,0.006483297195484589,0.08051892445558739
MNIST_ROWS,JEPA-MAE,7,48,0.01805427549220696,0.1343661992176863
MNIST_ROWS,JEPA-MAE,7,49,0.011866809688208127,0.10893488737869116
MNIST_ROWS,JEPA-MAE,7,50,0.027728415109421194,0.16651851281290375
MNIST_ROWS,JEPA-MAE,7,51,0.014086676911355504,0.11868730728833435
MNIST_ROWS,JEPA-MAE,7,52,0.029029658927970835,0.17038092301654795
MNIST_ROWS,JEPA-MAE,7,53,0.008672109170745259,0.09312415997336705
MNIST_ROWS,JEPA-MAE,7,54,0.004402032055018498,0.06634781123005112
MNIST_ROWS,JEPA-MAE,7,55,0.0015096828702692098,0.03885463769319191
MNIST_ROWS,JEPA-MAE,7,56,0.002944740675036718,0.05426546484677633
MNIST_ROWS,JEPA-MAE,7,57,0.0036940383374768513,0.0607786009832149
MNIST_ROWS,JEPA-MAE,7,58,0.020568672136192307,0.1434178236349733
MNIST_ROWS,JEPA-MAE,7,59,0.0036537648257839515,0.06044637975746729
MNIST_ROWS,JEPA-MAE,7,60,0.011962014663090442,0.10937099552939272
MNIST_ROWS,JEPA-MAE,7,61,0.017118812617066166,0.1308388803722585
MNIST_ROWS,JEPA-MAE,7,62,0.02411904069692196,0.15530306080989506
MNIST_ROWS,JEPA-MAE,7,63,0.005320306078834383,0.07294042828798294
MNIST_ROWS,JEPA-MAE,7,64,0.00733020973347986,0.08561664402135755
MNIST_ROWS,JEPA-MAE,7,65,0.02709031941510379,0.16459137102261404
MNIST_ROWS,JEPA-MAE,7,66,0.0025359701066982325,0.05035841644351252
MNIST_ROWS,JEPA-MAE,7,67,0.030794987113232298,0.17548500538003894
MNIST_ROWS,JEPA-MAE,7,68,0.03526557045512079,0.18779129493967708
MNIST_ROWS,JEPA-MAE,7,69,0.0010395448539783113,0.03224197348144669
MNIST_ROWS,JEPA-MAE,7,70,0.0034578760125050343,0.05880370747244628
MNIST_ROWS,JEPA-MAE,7,71,0.0047406128154139126,0.06885210828590445
MNIST_ROWS,JEPA-MAE,7,72,0.012363821336197687,0.11119272159722365
MNIST_ROWS,JEPA-MAE,7,73,0.0027489327143193068,0.052430265251277405
MNIST_ROWS,JEPA-MAE,7,74,0.013769224599994604,0.11734233933237655
MNIST_ROWS,JEPA-MAE,7,75,0.015513972894489273,0.12455509983332386
MNIST_ROWS,JEPA-MAE,7,76,0.012696785793268526,0.11268001505710108
MNIST_ROWS,JEPA-MAE,7,77,0.009300666298527575,0.09643996214499244
MNIST_ROWS,JEPA-MAE,7,78,0.03281167828987831,0.18113994117774884
MNIST_ROWS,JEPA-MAE,7,79,0.011192203317255688,0.10579321016613348
MNIST_ROWS,JEPA-MAE,7,80,0.010979518943720599,0.10478319972075963
MNIST_ROWS,JEPA-MAE,7,81,0.009798449437609281,0.09898711753359263
MNIST_ROWS,JEPA-MAE,7,82,0.005532261697966427,0.07437917516325673
MNIST_ROWS,JEPA-MAE,7,83,0.006767048192599484,0.08226207019398116
MNIST_ROWS,JEPA-MAE,7,84,0.008000783709468731,0.08944710006181716
MNIST_ROWS,JEPA-MAE,7,85,0.013651772012857367,0.11684079772432815
MNIST_ROWS,JEPA-MAE,7,86,0.005574297960060596,0.07466122126017358
MNIST_ROWS,JEPA-MAE,7,87,0.034982666199078964,0.18703653706984355
MNIST_ROWS,JEPA-MAE,7,88,0.014287462399867388,0.11953017359590586
MNIST_ROWS,JEPA-MAE,7,89,0.01905406146352267,0.13803644976426577
MNIST_ROWS,JEPA-MAE,7,90,0.020997454423134766,0.1449049841210949
MNIST_ROWS,JEPA-MAE,7,91,0.006735180482339256,0.0820681453570096
MNIST_ROWS,JEPA-MAE,7,92,0.01804636800333877,0.13433677085347395
MNIST_ROWS,JEPA-MAE,7,93,0.013033714690262524,0.11416529547223414
MNIST_ROWS,JEPA-MAE,7,94,0.02593294300468042,0.16103708580535236
MNIST_ROWS,JEPA-MAE,7,95,0.02198520187262799,0.14827407687329566
MNIST_ROWS,JEPA-MAE,7,96,0.023071748419575808,0.15189387222523432
MNIST_ROWS,JEPA-MAE,7,97,0.011595325230836244,0.10768159188476109
MNIST_ROWS,JEPA-MAE,7,98,0.030341491947553076,0.1741880935872285
MNIST_ROWS,JEPA-MAE,7,99,0.009336070072111102,0.09662334123860084
MNIST_ROWS,JEPA-MAE,7,100,0.0032058303075059554,0.05662005216799041
MNIST_ROWS,JEPA-MAE,7,101,0.00965376825192156,0.09825359154718753
MNIST_ROWS,JEPA-MAE,7,102,0.0026438020897925144,0.051417916038988924
MNIST_ROWS,JEPA-MAE,7,103,0.007811651014239634,0.08838354492913053
MNIST_ROWS,JEPA-MAE,7,104,0.0019048690198243635,0.043644805187151005
MNIST_ROWS,JEPA-MAE,7,105,0.006369115833653807,0.07980674052768856
MNIST_ROWS,JEPA-MAE,7,106,0.004577090441020448,0.06765419751220503
MNIST_ROWS,JEPA-MAE,7,107,0.0016297495052052839,0.04037015612064541
MNIST_ROWS,JEPA-MAE,7,108,0.007391138618593969,0.08597173150864165
MNIST_ROWS,JEPA-MAE,7,109,0.018234166849247866,0.1350339470253605
MNIST_ROWS,JEPA-MAE,7,110,0.005360431776128825,0.07321496961775525
MNIST_ROWS,JEPA-MAE,7,111,0.00796713533046176,0.08925881094021901
MNIST_ROWS,JEPA-MAE,7,112,0.02338953437798039,0.1529363736263561
MNIST_ROWS,JEPA-MAE,7,113,0.020132180662555718,0.14188791584400595
MNIST_ROWS,JEPA-MAE,7,114,0.010455748102391974,0.10225335252397338
MNIST_ROWS,JEPA-MAE,7,115,0.02143562690140405,0.1464091079865049
MNIST_ROWS,JEPA-MAE,7,116,0.016914335827728572,0.13005512611092487
MNIST_ROWS,JEPA-MAE,7,117,0.007849461041754833,0.08859718416380304
MNIST_ROWS,JEPA-MAE,7,118,0.013426843901691446,0.11587425901248062
MNIST_ROWS,JEPA-MAE,7,119,0.004669490640478483,0.06833367135225857
MNIST_ROWS,JEPA-MAE,7,120,0.014607628212345932,0.12086202138118464
MNIST_ROWS,JEPA-MAE,7,121,0.001226759508240816,0.03502512681263004
MNIST_ROWS,JEPA-MAE,7,122,0.012220047395209495,0.11054432321566537
MNIST_ROWS,JEPA-MAE,7,123,0.003575571693696443,0.05979608426725318
MNIST_ROWS,JEPA-MAE,7,124,0.004638480889845422,0.06810639389841032
MNIST_ROWS,JEPA-MAE,7,125,0.007721750685872731,0.08787349250981624
MNIST_ROWS,JEPA-MAE,7,126,0.0025809178760815,0.05080273492718183
MNIST_ROWS,JEPA-MAE,7,127,0.00664802541971159,0.08153542432410339
MNIST_ROWS,JEPA-only,7,0,0.009671829879775516,0.09834546191754613
MNIST_ROWS,JEPA-only,7,1,0.015902346858868415,0.126104507686555
MNIST_ROWS,JEPA-only,7,2,0.02335345085644589,0.15281835902942387
MNIST_ROWS,JEPA-only,7,3,0.035572094094372876,0.18860565764147394
MNIST_ROWS,JEPA-only,7,4,0.017564548908153503,0.132531312934542
MNIST_ROWS,JEPA-only,7,5,0.01723779716487511,0.13129279174758646
MNIST_ROWS,JEPA-only,7,6,0.015007842280587195,0.12250649893204521
MNIST_ROWS,JEPA-only,7,7,0.003160498515287772,0.05621831120985201
MNIST_ROWS,JEPA-only,7,8,0.0192924328208306,0.13889720235062547
MNIST_ROWS,JEPA-only,7,9,0.014210035464642907,0.11920585331535909
MNIST_ROWS,JEPA-only,7,10,0.017163575440284275,0.13100982955596988
MNIST_ROWS,JEPA-only,7,11,0.012296151040545095,0.11088801125705652
MNIST_ROWS,JEPA-only,7,12,0.00665488071079402,0.08157745222053714
MNIST_ROWS,JEPA-only,7,13,0.016410327412344085,0.12810280017370457
MNIST_ROWS,JEPA-only,7,14,0.007379379713148036,0.08590331607771633
MNIST_ROWS,JEPA-only,7,15,0.010370568422933366,0.10183598785760055
MNIST_ROWS,JEPA-only,7,16,0.015026861565955766,0.12258409997204273
MNIST_ROWS,JEPA-only,7,17,0.008343048738847877,0.09134029088440587
MNIST_ROWS,JEPA-only,7,18,0.027258658223108048,0.1651019631110062
MNIST_ROWS,JEPA-only,7,19,0.027107228101624324,0.16464272866307922
MNIST_ROWS,JEPA-only,7,20,0.03586475481579011,0.18937992189192102
MNIST_ROWS,JEPA-only,7,21,0.003549964932496235,0.059581582158383765
MNIST_ROWS,JEPA-only,7,22,0.020820635021428998,0.14429357234966844
MNIST_ROWS,JEPA-only,7,23,0.052546272810997816,0.22922973805987262
