dataset,model,seed,epoch,total_loss,jepa_loss,mae_loss,embedding_std,covariance_offdiag,effective_rank
MNIST_ROWS,JEPA-MAE,7,0,0.27024575769901277,0.9473603963851929,0.2607721537351608,0.6850423216819763,0.30519652366638184,2.9819905757904053
MNIST_ROWS,JEPA-MAE,7,10,0.13896629422903062,0.42989200353622437,0.13466737419366837,0.6471120715141296,0.1601797193288803,4.296721935272217
MNIST_ROWS,JEPA-MAE,7,20,0.12526866763830186,0.3791492134332657,0.12147717550396919,0.6496444940567017,0.14507515728473663,5.098047256469727
MNIST_ROWS,JEPA-MAE,7,29,0.11953762769699097,0.3632834553718567,0.1159047931432724,0.6526529788970947,0.13944783806800842,5.540372848510742
MNIST_ROWS,JEPA-only,7,0,0.03821379877626896,0.03821379877626896,0.371951162815094,0.05096467584371567,0.0007090992294251919,8.725909233093262
MNIST_ROWS,JEPA-only,7,10,0.16103674471378326,0.16103674471378326,0.38688115775585175,0.3568333685398102,0.05280052497982979,5.50621223449707
MNIST_ROWS,JEPA-only,7,20,0.16598133742809296,0.16598133742809296,0.38992103934288025,0.41979727149009705,0.07013987004756927,5.5900468826293945
MNIST_ROWS,JEPA-only,7,29,0.18519171327352524,0.18519171327352524,0.3894973397254944,0.444663941860199,0.06649170070886612,6.980324745178223
MNIST_ROWS,MAE-only,7,0,0.2602044641971588,1.0351346731185913,0.2602044641971588,0.6287505626678467,0.27015724778175354,2.71642804145813
MNIST_ROWS,MAE-only,7,10,0.133091539144516,1.1063786745071411,0.133091539144516,0.6730517745018005,0.1731112003326416,4.423065662384033
MNIST_ROWS,MAE-only,7,20,0.12021030485630035,1.1558321118354797,0.12021030485630035,0.6495821475982666,0.14792406558990479,5.273921012878418
MNIST_ROWS,MAE-only,7,29,0.11471686512231827,1.1821966767311096,0.11471686512231827,0.646700382232666,0.13821642100811005,5.829592227935791
