metric,n_stocks,mean_delta,median_delta,t_statistic,p_value,cohens_dz,status
MSE,5,0.24647665138723682,0.11281785349787504,1.7634180206911307,0.15260687458250866,0.7886245134026997,ok
MAE,5,0.12795816491779535,0.09211095734646449,2.782821607771018,0.04967499749445459,1.2445156568462508,ok
