model,mse,mae,trend_accuracy
naive_last,0.000889064627699554,0.02138836681842804,0.0
drift,0.0009454245833958706,0.0221129532181801,0.5655737704918032
GRU,0.0011374956229701638,0.024571916088461876,0.5
TS-JEPA,0.003054215107113123,0.03978037089109421,0.4426229508196721
mean_context,0.008166482672095299,0.0734480544924736,0.0
previous_patch,0.02155531570315361,0.09992246329784393,0.4672131147540984
