epoch,train_loss,mse_loss,trend_loss,val_mse,val_mae,val_trend_acc
0,0.15831141620874406,0.13905756783982118,19.25384578704834,0.010846947319805622,0.07951363921165466,0.5
1,0.024557661389311154,0.018671165592968463,5.886495574315389,0.016361670568585396,0.09747279435396194,0.5208333333333334
2,0.011028247543921073,0.007474582844103376,3.5536645889282226,0.005044565070420504,0.05112814903259277,0.4583333333333333
3,0.006840759019056956,0.00432623359374702,2.5145251830418904,0.002016297774389386,0.038056425750255585,0.4791666666666667
4,0.004262101836502552,0.0025359290341536206,1.726172685623169,0.001437851693481207,0.03144938126206398,0.4375
5,0.003155437453339497,0.001845577215620627,1.3098601738611857,0.0010852859122678638,0.02610563486814499,0.3958333333333333
6,0.0029564253985881806,0.0016889853092531364,1.2674399932225546,0.0010444133076816797,0.026707490906119347,0.4791666666666667
7,0.002740952263896664,0.001513828484651943,1.2271237254142762,0.0008247446385212243,0.02257850579917431,0.5416666666666666
8,0.0027854112908244134,0.0016038613549123207,1.181549843152364,0.00137466995511204,0.030542898923158646,0.5625
9,0.0027913320809602737,0.0015136736522739132,1.2776583909988404,0.0007484155357815325,0.022384697571396828,0.4791666666666667
10,0.002557377486179272,0.001339034658546249,1.2183428049087524,0.0007214832003228366,0.019814081490039825,0.4791666666666667
11,0.0023825105202073854,0.0012711635829570393,1.1113468925158183,0.0005274781142361462,0.018417688086628914,0.5
12,0.0025281109381467106,0.0013451063384612401,1.1830045223236083,0.0006819216068834066,0.0199139304459095,0.4791666666666667
13,0.002643106187072893,0.0013114398655792077,1.3316662510236104,0.0011589754140004516,0.028447506949305534,0.5416666666666666
14,0.0025941763694087663,0.0013543699829218288,1.239806350072225,0.0010330829536542296,0.026723587885499,0.5
15,0.0023901590378955007,0.0011837657696257035,1.2063932180404664,0.0007590713794343174,0.022451797500252724,0.5
16,0.0024979188727835815,0.0012207839211138586,1.2771348516146341,0.0006905811605975032,0.02132023684680462,0.5416666666666666
