stock,model,n_paired_seeds,delta_mse,relative_mse_improvement_pct,delta_mae,relative_mae_improvement_pct
AAPL,GRU,5,6.0284152218018905e-05,-5.109364719530038,0.0018070431177406303,-8.505978872324679
AAPL,Shared-target JEPA--MAE,5,0.0013397007412949565,-113.54592294083413,0.012344991617934092,-58.10942575208903
AVGO,GRU,5,0.0002425529690499889,-8.55200482839873,0.003502831181854403,-9.716493944362172
AVGO,Shared-target JEPA--MAE,5,0.0027385438016392927,-96.55639304738379,0.018743359000471083,-51.99215285295852
NVDA,GRU,5,0.0003342131453878612,-16.07508570503726,0.002513755545216173,-7.42619229448699
NVDA,Shared-target JEPA--MAE,5,0.0009545933374839278,-45.91432122067884,0.006256637828743186,-18.483498016197444
TSLA,GRU,5,0.0018110051404587012,-54.09084636685363,0.010733042782368626,-25.94604275746955
TSLA,Shared-target JEPA--MAE,5,0.0008216764407013077,-24.541716157680394,0.008540018537866047,-20.64462898601766
WMT,GRU,5,5.8831999288549315e-05,-8.1564315233209,0.0017717617940108585,-9.407155909959824
WMT,Shared-target JEPA--MAE,5,0.0007412807439427537,-102.77069793040741,0.009949405590366374,-52.82629409686251
