method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.003352066865452428,0.0015790466857472127,0.04143599855284644,0.010881216325045387,0.4985263157894737,0.007792318115082799,2.8,2.8,2.8,0,1,0,1,1,1,5,5
GRU,0.0025342853337206035,0.0017286197316809006,0.03433480292200842,0.012871863049094079,0.49536842105263157,0.042030196241772226,2.2,2.2,2.6,0,4,0,4,0,3,5,5
Naive-last,0.00203290785243998,0.0010983052907040899,0.03026911603777028,0.009767367881007842,0.0010526315789473684,0.0023537557657892522,1.0,1.0,5.0,5,0,5,0,0,0,5,5
Drift,0.7994987335712251,1.4929513612730019,0.22881607271504195,0.15732010720385178,0.5273684210526317,0.03710432996213594,4.0,4.0,1.6,0,0,0,0,3,1,5,5
Mean-context,3.245150406717271e+39,7.159543046554468e+39,4.971962779071189e+18,9.859761607500153e+18,0.4978947368421053,0.041207535012765036,5.0,5.0,3.0,0,0,0,0,1,0,5,5
