stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AAPL,Drift,-4663.906243210438,-586.1416005722266,5
AAPL,GRU,-5.109364719530038,-8.505978872324679,5
AAPL,Mean-context,-55770197376.646996,-807719.4496900563,5
AAPL,Shared-target JEPA--MAE,-113.54592294083413,-58.10942575208903,5
AVGO,Drift,-9959.28156318681,-369.1624428396801,5
AVGO,GRU,-8.55200482839873,-9.716493944362172,5
AVGO,Mean-context,-6.13248672661761e+42,-6.501640276466808e+21,5
AVGO,Shared-target JEPA--MAE,-96.55639304738379,-51.99215285295852,5
NVDA,Drift,-6683.018688318667,-489.88623084686014,5
NVDA,GRU,-16.07508570503726,-7.42619229448699,5
NVDA,Mean-context,-96682314.74642622,-44553.69872723282,5
NVDA,Shared-target JEPA--MAE,-45.91432122067884,-18.483498016197444,5
TSLA,Drift,-103385.31218988347,-1122.471664998734,5
TSLA,GRU,-54.09084636685363,-25.94604275746955,5
TSLA,Mean-context,-12353776408.309063,-362485.9130160405,5
TSLA,Shared-target JEPA--MAE,-24.541716157680394,-20.64462898601766,5
WMT,Drift,-6857.925064482524,-557.348055912769,5
WMT,GRU,-8.1564315233209,-9.407155909959824,5
WMT,Mean-context,-2.225414507148348e+45,-1.1954826216692852e+23,5
WMT,Shared-target JEPA--MAE,-102.77069793040741,-52.82629409686251,5
AAPL,Naive-last,0.0,0.0,5
AVGO,Naive-last,0.0,0.0,5
NVDA,Naive-last,0.0,0.0,5
TSLA,Naive-last,0.0,0.0,5
WMT,Naive-last,0.0,0.0,5
