stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008102974786109984,3.6466635316867286
AAPL,Local-MAE/Long-JEPA,3,-0.0004686414283553789,2.1090743231123548
AVGO,GRU,3,-0.003908232802113614,5.430627948759316
AVGO,Local-MAE/Long-JEPA,3,-0.0036637335605922555,5.0908875899612775
NVDA,GRU,3,-0.006114996013922606,10.616675096529313
NVDA,Local-MAE/Long-JEPA,3,-0.0025848702765693538,4.48777527091288
TSLA,GRU,3,-0.005218476843856623,5.954760919489389
TSLA,Local-MAE/Long-JEPA,3,-0.0018840133274118653,2.1498320811898535
WMT,GRU,3,-0.0012733782455281427,6.970744456958356
WMT,Local-MAE/Long-JEPA,3,-0.00018728227980663778,1.0252231954121218
