model,forecast_target,rmse,trend_accuracy
naive_last,relative_return,0.016129741445183754,0.016666666666666666
mean_context,relative_return,0.016087008640170097,0.6166666666666667
drift,relative_return,0.01582508347928524,0.6166666666666667
