model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,locked
mean_context,relative_return,5,2,86,2024-11-07T00:00:00,0.007142515387386084,True
mean_context,relative_return,5,3,87,2024-11-08T00:00:00,0.010732881724834442,True
mean_context,relative_return,5,4,88,2024-11-11T00:00:00,0.014336046762764454,True
mean_context,relative_return,5,5,89,2024-11-12T00:00:00,0.017952056601643562,True
mean_context,relative_return,6,1,90,2024-11-13T00:00:00,0.002269774442538619,True
mean_context,relative_return,6,2,91,2024-11-14T00:00:00,0.004544700961560011,True
mean_context,relative_return,6,3,92,2024-11-15T00:00:00,0.006824790965765715,True
mean_context,relative_return,6,4,93,2024-11-18T00:00:00,0.00911005586385727,True
mean_context,relative_return,6,5,94,2024-11-19T00:00:00,0.01140050869435072,True
mean_context,relative_return,7,1,95,2024-11-20T00:00:00,0.0022380980663001537,True
mean_context,relative_return,7,2,96,2024-11-21T00:00:00,0.004481205251067877,True
mean_context,relative_return,7,3,97,2024-11-22T00:00:00,0.006729332730174065,True
mean_context,relative_return,7,4,98,2024-11-25T00:00:00,0.008982491679489613,True
mean_context,relative_return,7,5,99,2024-11-26T00:00:00,0.011240693740546703,True
mean_context,relative_return,8,1,100,2024-11-27T00:00:00,0.0029000909999012947,True
mean_context,relative_return,8,2,101,2024-11-29T00:00:00,0.0058085923083126545,True
mean_context,relative_return,8,3,102,2024-12-02T00:00:00,0.008725528605282307,True
mean_context,relative_return,8,4,103,2024-12-03T00:00:00,0.011650924570858479,True
mean_context,relative_return,8,5,104,2024-12-04T00:00:00,0.014584803953766823,True
mean_context,relative_return,9,1,105,2024-12-05T00:00:00,0.0031239765230566263,True
mean_context,relative_return,9,2,106,2024-12-06T00:00:00,0.006257712375372648,True
mean_context,relative_return,9,3,107,2024-12-09T00:00:00,0.009401237592101097,True
mean_context,relative_return,9,4,108,2024-12-10T00:00:00,0.012554584071040154,True
mean_context,relative_return,9,5,109,2024-12-11T00:00:00,0.015717780217528343,True
mean_context,relative_return,10,1,110,2024-12-12T00:00:00,0.0031717841047793627,True
mean_context,relative_return,10,2,111,2024-12-13T00:00:00,0.006353628356009722,True
mean_context,relative_return,10,3,112,2024-12-16T00:00:00,0.009545564651489258,True
mean_context,relative_return,10,4,113,2024-12-17T00:00:00,0.012747625820338726,True
mean_context,relative_return,10,5,114,2024-12-18T00:00:00,0.0159598421305418,True
mean_context,relative_return,11,1,115,2024-12-19T00:00:00,0.002416325965896249,True
mean_context,relative_return,11,2,116,2024-12-20T00:00:00,0.004838490393012762,True
mean_context,relative_return,11,3,117,2024-12-23T00:00:00,0.007266507484018803,True
mean_context,relative_return,11,4,118,2024-12-24T00:00:00,0.009700391441583633,True
mean_context,relative_return,11,5,119,2024-12-26T00:00:00,0.012140156701207161,True
drift,relative_return,0,1,60,2024-10-02T00:00:00,0.002371253212913871,True
drift,relative_return,0,2,61,2024-10-03T00:00:00,0.004742506425827742,True
drift,relative_return,0,3,62,2024-10-04T00:00:00,0.007113759871572256,True
drift,relative_return,0,4,63,2024-10-07T00:00:00,0.009485012851655483,True
drift,relative_return,0,5,64,2024-10-08T00:00:00,0.011856266297399998,True
drift,relative_return,1,1,65,2024-10-09T00:00:00,0.0020668148063123226,True
drift,relative_return,1,2,66,2024-10-10T00:00:00,0.004133629612624645,True
drift,relative_return,1,3,67,2024-10-11T00:00:00,0.006200444884598255,True
drift,relative_return,1,4,68,2024-10-14T00:00:00,0.00826725922524929,True
drift,relative_return,1,5,69,2024-10-15T00:00:00,0.0103340744972229,True
drift,relative_return,2,1,70,2024-10-16T00:00:00,0.0022834131959825754,True
drift,relative_return,2,2,71,2024-10-17T00:00:00,0.004566826391965151,True
drift,relative_return,2,3,72,2024-10-18T00:00:00,0.006850239355117083,True
drift,relative_return,2,4,73,2024-10-21T00:00:00,0.009133652783930302,True
drift,relative_return,2,5,74,2024-10-22T00:00:00,0.011417065747082233,True
drift,relative_return,3,1,75,2024-10-23T00:00:00,0.0026512749027460814,True
drift,relative_return,3,2,76,2024-10-24T00:00:00,0.005302549805492163,True
drift,relative_return,3,3,77,2024-10-25T00:00:00,0.0079538244754076,True
drift,relative_return,3,4,78,2024-10-28T00:00:00,0.010605099610984325,True
drift,relative_return,3,5,79,2024-10-29T00:00:00,0.01325637474656105,True
drift,relative_return,4,1,80,2024-10-30T00:00:00,0.002896085614338517,True
drift,relative_return,4,2,81,2024-10-31T00:00:00,0.005792171228677034,True
drift,relative_return,4,3,82,2024-11-01T00:00:00,0.008688257075846195,True
drift,relative_return,4,4,83,2024-11-04T00:00:00,0.011584342457354069,True
drift,relative_return,4,5,84,2024-11-05T00:00:00,0.014480427838861942,True
drift,relative_return,5,1,85,2024-11-06T00:00:00,0.003149609547108412,True
drift,relative_return,5,2,86,2024-11-07T00:00:00,0.006299219094216824,True
