model,forecast_target,rmse,trend_accuracy
naive_last,relative_return,0.05524887144565582,0.004
GRU,relative_return,0.05614084005355835,0.524
drift,relative_return,0.059368740767240524,0.556
mean_context,relative_return,0.06036289036273956,0.56
TS-JEPA,relative_return,0.06439991295337677,0.564
