model,n_stocks,mean_delta_rmse,median_delta_rmse,relative_rmse_improvement_pct,rmse_ci_low,rmse_ci_high,rmse_wilcoxon_statistic,rmse_p_value,rmse_holm_p_value,rmse_rank_biserial,rmse_wilcoxon_n,rmse_stock_wins,rmse_stock_losses,rmse_stock_ties,rmse_run_wins,rmse_run_total
Local-MAE/Long-JEPA,5,-0.0021847292533346604,-0.0021873289651531957,3.2386124902708504,-0.0038282209138879664,-0.0005412375927813546,1.0,0.125,0.125,-0.8666666666666667,5,4,1,0,12,15
GRU,5,-0.0025529764112084173,-0.001478146312043186,5.1826445300232376,-0.0044519548343224065,-0.0010673082004233833,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
