stock,method,rmse_mean,rmse_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.020048625613495002,0.00039157087123379674,0.5277777777777778,0.025458753860865796,3,3
AAPL,GRU,0.019495234399216337,0.0001243479281046383,0.5722222222222223,0.03469443332443556,3,3
AAPL,Naive-last,0.020592269525549253,0.0,0.016666666666666666,0.0,3,3
AAPL,Drift,0.020775406624145884,0.0,0.55,0.0,3,3
AAPL,Mean-context,0.02075290612088501,0.0,0.55,0.0,3,3
AVGO,Shared-target JEPA--MAE,0.07844109875499962,0.0014427740261864991,0.55,0.05773502691896261,3,3
AVGO,GRU,0.07943687215538518,0.0007381184260019423,0.5333333333333333,0.033333333333333326,3,3
AVGO,Naive-last,0.08331296449605514,0.0,0.0,0.0,3,3
AVGO,Drift,0.08194646776108479,0.0,0.45,0.0,3,3
AVGO,Mean-context,0.08162662913421737,0.0,0.5,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.04638657964683448,0.0008755774859576378,0.5777777777777778,0.03469443332443553,3,3
NVDA,GRU,0.042000161349629216,0.0026129830826133265,0.6555555555555556,0.03469443332443556,3,3
NVDA,Naive-last,0.04985049112890518,0.0,0.0,0.0,3,3
NVDA,Drift,0.053211856113058724,0.0,0.4666666666666666,0.0,3,3
NVDA,Mean-context,0.05344025287421058,0.0,0.4666666666666666,0.0,3,3
TSLA,Shared-target JEPA--MAE,0.10068344004527834,0.001606631047264973,0.5277777777777778,0.025458753860865796,3,3
TSLA,GRU,0.1033091360666548,0.002056132580195783,0.5,0.0726483157256779,3,3
TSLA,Naive-last,0.10982127077521016,0.0,0.0,0.0,3,3
TSLA,Drift,0.10552143383187788,0.0,0.6,0.0,3,3
TSLA,Mean-context,0.1044137172386319,0.0,0.5666666666666667,0.0,3,3
WMT,Shared-target JEPA--MAE,0.017612244111962477,0.0012854828657020134,0.5555555555555556,0.02545875386086579,3,3
WMT,GRU,0.014850614480135452,0.00047423416675044567,0.5444444444444444,0.03469443332443553,3,3
WMT,Naive-last,0.016129741750738388,0.0,0.016666666666666666,0.0,3,3
WMT,Drift,0.01582508413647733,0.0,0.6166666666666667,0.0,3,3
WMT,Mean-context,0.016087008471433163,0.0,0.6166666666666667,0.0,3,3
