stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Local-MAE/Long-JEPA,3,0.001144609209273949,-5.151200357487374
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Local-MAE/Long-JEPA,3,-0.005732286113482657,7.9652146518314995
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Local-MAE/Long-JEPA,3,-0.0004860723920388106,0.8439045009873306
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Local-MAE/Long-JEPA,3,-0.012470649169165174,14.230154992568146
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Local-MAE/Long-JEPA,3,-3.8406545790882485e-05,0.21024563370930802
