model,n_stocks,mean_delta_rmse,median_delta_rmse,relative_rmse_improvement_pct,rmse_ci_low,rmse_ci_high,rmse_wilcoxon_statistic,rmse_p_value,rmse_holm_p_value,rmse_rank_biserial,rmse_wilcoxon_n,rmse_stock_wins,rmse_stock_losses,rmse_stock_ties,rmse_run_wins,rmse_run_total
Shared-target JEPA--MAE,5,-0.0017377674204545428,-0.0007721552285612695,2.3607484235280447,-0.003979710386570321,0.00032695174069832594,4.0,0.4375,0.4375,-0.4666666666666667,5,3,2,0,11,15
GRU,5,-0.0018734751892606702,-0.0015972813777048202,4.371496021653014,-0.0027297869554677445,-0.0011452745965246098,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
