stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0006017017371952697,2.707899061643161
AAPL,Shared-target JEPA--MAE,3,0.0007877336426797716,-3.5451172233279578
AVGO,GRU,3,-0.0032471250603660212,4.511995318294212
AVGO,Shared-target JEPA--MAE,3,-0.0057830733678967405,8.03578534125223
NVDA,GRU,3,-0.00238489488553556,4.140583915583557
NVDA,Shared-target JEPA--MAE,3,0.00041572332334667794,-0.7217665300144444
TSLA,GRU,3,-0.00153637288550168,1.753142437935461
TSLA,Shared-target JEPA--MAE,3,-0.0033370654718411544,3.8078979081588673
WMT,GRU,3,-0.0015972813777048202,8.74385937480868
WMT,Shared-target JEPA--MAE,3,-0.0007721552285612695,4.226942621571529
