Date,Open,High,Low,Close,Volume,sentiment_mean,sentiment_sum,sentiment_max,sentiment_min,sentiment_std,news_count
2015-01-02,2058.89990234375,2072.360107421875,2046.0400390625,2058.199951171875,2708700000,-0.2639904897660017,-0.7919714692980051,0.12484068050980568,-0.834336644038558,0.504694018236242,3.0
2015-01-05,2054.43994140625,2054.43994140625,2017.3399658203125,2020.5799560546875,3799120000,-0.7250355705618858,-0.7250355705618858,-0.7250355705618858,-0.7250355705618858,0.0,1.0
2015-01-06,2022.1500244140625,2030.25,1992.43994140625,2002.6099853515625,4460110000,-0.3681666385382414,-1.1044999156147242,-0.028041716665029526,-0.9532702323049307,0.5089428885447981,3.0
2015-01-07,2005.550048828125,2029.6099853515625,2005.550048828125,2025.9000244140625,3805480000,0.21181262331083417,2.1181262331083417,0.9111919142305851,-0.9447989091277122,0.5921580187132048,10.0
2015-01-08,2030.6099853515625,2064.080078125,2030.6099853515625,2062.139892578125,3934010000,0.6664152592420578,0.6664152592420578,0.6664152592420578,0.6664152592420578,0.0,1.0
2015-01-09,2063.449951171875,2064.429931640625,2038.3299560546875,2044.81005859375,3364140000,-0.1209928368528684,-0.7259570211172104,0.8296265602111816,-0.8241929188370705,0.6164780579356597,6.0
2015-01-12,2046.1300048828125,2049.300048828125,2022.5799560546875,2028.260009765625,3456460000,-0.6974064286798238,-3.4870321433991194,-0.02348235994577408,-0.9612928368151188,0.40205775734136895,5.0
2015-01-13,2031.5799560546875,2056.929931640625,2008.25,2023.030029296875,4107300000,0.5089196315035224,2.544598157517612,0.9193176459521055,0.1384153999388218,0.3429192949310156,5.0
2015-01-14,2018.4000244140625,2018.4000244140625,1988.43994140625,2011.27001953125,4378680000,-0.013413329209600176,-0.09389330446720123,0.9284890536218882,-0.9538290593773127,0.6835557481415674,7.0
2015-01-15,2013.75,2021.3499755859373,1991.469970703125,1992.6700439453125,4276720000,0.15951594648261866,0.9570956788957119,0.9013522397726774,-0.9605703037232161,0.6917533805798858,6.0
2015-01-16,1992.25,2020.4599609375,1988.1199951171875,2019.4200439453125,4056410000,-0.29803157147640985,-1.788189428858459,0.03227503318339586,-0.9192796237766743,0.4219478028180248,6.0
2015-01-20,2020.760009765625,2028.93994140625,2004.489990234375,2022.550048828125,3944340000,-0.7137615857645869,-0.7137615857645869,-0.7137615857645869,-0.7137615857645869,0.0,1.0
2015-01-21,2020.18994140625,2038.2900390625,2012.0400390625,2032.1199951171875,3730070000,0.4958010856062174,0.9916021712124348,0.9080281294882298,0.08357404172420502,0.5829770762349109,2.0
2015-01-22,2034.300048828125,2064.6201171875,2026.3800048828125,2063.14990234375,4176050000,0.07544210537647207,0.45265263225883245,0.43486638087779284,-0.3534989170730114,0.25315612268281684,6.0
2015-01-23,2062.97998046875,2062.97998046875,2050.5400390625,2051.820068359375,3573560000,0.2509349122022589,0.7528047366067767,0.8667541183531284,-0.20848607271909714,0.5544192184864049,3.0
2015-01-26,2050.419921875,2057.6201171875,2040.969970703125,2057.090087890625,3465760000,-0.551834957441315,-2.20733982976526,0.025594688951969147,-0.9553785501047969,0.4640420228916512,4.0
2015-01-27,2047.8599853515625,2047.8599853515625,2019.9100341796875,2029.550048828125,3329810000,0.49575500562787056,0.49575500562787056,0.49575500562787056,0.49575500562787056,0.0,1.0
2015-01-28,2032.3399658203125,2042.489990234375,2001.489990234375,2002.1600341796875,4067530000,-0.06522589073412949,-0.5870330166071653,0.9294425863772631,-0.8724939748644829,0.521721224857511,9.0
2015-01-29,2002.449951171875,2024.6400146484373,1989.1800537109373,2021.25,4127140000,-0.035515047144144773,-0.07103009428828955,0.7984486222267151,-0.8694787165150046,1.1794027317507016,2.0
2015-01-30,2019.3499755859373,2023.3199462890625,1993.3800048828125,1994.989990234375,4568650000,0.4194178725592792,0.8388357451185584,0.8428419893607497,-0.004006244242191315,0.5988121286164891,2.0
2015-02-02,1996.6700439453125,2021.6600341796875,1980.9000244140625,2020.8499755859373,4008330000,-0.016339268907904624,-0.08169634453952312,0.39872027561068535,-0.86262172088027,0.5132022445155708,5.0
2015-02-03,2022.7099609375,2050.300048828125,2022.7099609375,2050.030029296875,4615900000,-0.03951004892587662,-0.03951004892587662,-0.03951004892587662,-0.03951004892587662,0.0,1.0
2015-02-04,2048.860107421875,2054.739990234375,2036.719970703125,2041.510009765625,4141920000,0.0036150552332401276,0.0036150552332401276,0.0036150552332401276,0.0036150552332401276,0.0,1.0
2015-02-05,2043.449951171875,2063.550048828125,2043.449951171875,2062.52001953125,3821990000,-0.131274851039052,-0.262549702078104,0.16144856438040733,-0.42399826645851135,0.41397342411037297,2.0
2015-02-06,2062.280029296875,2072.39990234375,2049.969970703125,2055.469970703125,4232970000,0.03655785396695137,0.18278926983475685,0.8603027164936066,-0.8343212027102709,0.6074055543581888,5.0
2015-02-09,2053.469970703125,2056.159912109375,2041.8800048828125,2046.739990234375,3549540000,0.34075533226132393,1.7037766613066196,0.6704824715852737,-0.198025893419981,0.37913264663117774,5.0
2015-02-10,2049.3798828125,2070.860107421875,2048.6201171875,2068.590087890625,3669850000,0.1773130614310503,0.7092522457242012,0.7090890407562256,-0.8399673141539097,0.7236005845661366,4.0
2015-02-11,2068.550048828125,2073.47998046875,2057.989990234375,2068.530029296875,3596860000,-0.04984111494074265,-0.44857003446668386,0.13813816290348768,-0.6640749350190163,0.24782790037810112,9.0
2015-02-12,2069.97998046875,2088.530029296875,2069.97998046875,2088.47998046875,3788350000,-0.13259444246068597,-0.26518888492137194,0.3533342657610774,-0.6185231506824493,0.6872069695136562,2.0
2015-02-13,2088.780029296875,2097.030029296875,2086.699951171875,2096.989990234375,3527450000,-0.14656720931331316,-0.4397016279399395,0.034165870398283005,-0.42445382475852966,0.2442582922350638,3.0
2015-02-17,2096.469970703125,2101.300048828125,2089.800048828125,2100.340087890625,3361750000,0.20148756944884857,1.2089254166930914,0.9023050796240568,-0.8821569941937923,0.6463428074798934,6.0
2015-02-18,2099.159912109375,2100.22998046875,2092.14990234375,2099.679931640625,3370020000,-0.3692689083982259,-1.4770756335929036,0.16043138038367033,-0.9074083380401134,0.5384821545502309,4.0
2015-02-19,2099.25,2102.1298828125,2090.7900390625,2097.449951171875,3247100000,0.06638930613795917,0.1991679184138775,0.8676778599619865,-0.6754498519003391,0.7732796756502982,3.0
2015-02-20,2097.64990234375,2110.610107421875,2085.43994140625,2110.300048828125,3281600000,0.021159771643579007,0.21159771643579006,0.8348610661923885,-0.5843383073806763,0.55971660156402,10.0
2015-02-23,2109.830078125,2110.050048828125,2103.0,2109.659912109375,3093680000,-0.17770669795572758,-0.35541339591145515,-0.0074850283563137054,-0.34792836755514145,0.24072979375728307,2.0
2015-02-24,2109.10009765625,2117.93994140625,2105.8701171875,2115.47998046875,3199840000,0.193998355950628,1.357988491654396,0.726909602060914,-0.09632516652345657,0.2953782451908656,7.0
2015-02-25,2115.300048828125,2119.590087890625,2109.889892578125,2113.860107421875,3312340000,0.5145343840122223,1.0290687680244446,0.7427724152803421,0.2862963527441025,0.32277731926870956,2.0
2015-02-26,2113.909912109375,2113.909912109375,2103.760009765625,2110.739990234375,3408690000,0.057207352947443724,0.2288294117897749,0.9042571373283863,-0.858678637072444,0.7218386092553645,4.0
2015-02-27,2110.8798828125,2112.739990234375,2103.75,2104.5,3547380000,0.7536685736849904,1.5073371473699808,0.9027275089174509,0.6046096384525299,0.21080116779863842,2.0
2015-03-02,2105.22998046875,2117.52001953125,2104.5,2117.389892578125,3409490000,-0.8966353982686996,-0.8966353982686996,-0.8966353982686996,-0.8966353982686996,0.0,1.0
2015-03-03,2115.760009765625,2115.760009765625,2098.260009765625,2107.780029296875,3262300000,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04,2107.719970703125,2107.719970703125,2094.489990234375,2098.530029296875,3421110000,-0.00041883811354637146,-0.00041883811354637146,-0.00041883811354637146,-0.00041883811354637146,0.0,1.0
2015-03-05,2098.5400390625,2104.25,2095.219970703125,2101.0400390625,3103030000,0.14355257857176992,1.2919732071459293,0.9286265764385462,-0.45289865881204605,0.4380638547351684,9.0
2015-03-06,2100.909912109375,2100.909912109375,2067.27001953125,2071.260009765625,3853570000,-0.44134427926370073,-3.0894099548459053,0.12298887968063354,-0.9309202935546637,0.4964788222470003,7.0
2015-03-09,2072.25,2083.489990234375,2072.2099609375,2079.429931640625,3349090000,-0.10609341785311699,-0.42437367141246796,0.9067451078444719,-0.9496289175003767,0.8140698895419158,4.0
2015-03-10,2076.139892578125,2076.139892578125,2044.1600341796875,2044.1600341796875,3668900000,0.007147293537855148,0.007147293537855148,0.007147293537855148,0.007147293537855148,0.0,1.0
