model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
naive_last,relative_return,0,1,60,2024-10-02T00:00:00,0.0,0.0025197267532348633,-0.0025197267532348633,0.0025197267532348633,6.349022910967506e-06
naive_last,relative_return,0,2,61,2024-10-03T00:00:00,0.0,-0.00238722562789917,0.00238722562789917,0.00238722562789917,5.698846198498586e-06
naive_last,relative_return,0,3,62,2024-10-04T00:00:00,0.0,0.002608180046081543,-0.002608180046081543,0.002608180046081543,6.80260315277792e-06
naive_last,relative_return,0,4,63,2024-10-07T00:00:00,0.0,-0.019981443881988525,0.019981443881988525,0.019981443881988525,0.00039925809960905667
naive_last,relative_return,0,5,64,2024-10-08T00:00:00,0.0,-0.0019450783729553223,0.0019450783729553223,0.0019450783729553223,3.7833298769385237e-06
naive_last,relative_return,1,1,65,2024-10-09T00:00:00,0.0,0.016698360443115234,-0.016698360443115234,0.016698360443115234,0.0002788352414881956
naive_last,relative_return,1,2,66,2024-10-10T00:00:00,0.0,0.01448369026184082,-0.01448369026184082,0.01448369026184082,0.0002097772836009426
naive_last,relative_return,1,3,67,2024-10-11T00:00:00,0.0,0.00788414478302002,-0.00788414478302002,0.00788414478302002,6.215973895962179e-05
naive_last,relative_return,1,4,68,2024-10-14T00:00:00,0.0,0.024493932723999023,-0.024493932723999023,0.024493932723999023,0.0005999527402877902
naive_last,relative_return,1,5,69,2024-10-15T00:00:00,0.0,0.035788655281066895,-0.035788655281066895,0.035788655281066895,0.0012808278468270373
naive_last,relative_return,2,1,70,2024-10-16T00:00:00,0.0,-0.008851885795593262,0.008851885795593262,0.008851885795593262,7.835588213822575e-05
naive_last,relative_return,2,2,71,2024-10-17T00:00:00,0.0,-0.007269680500030518,0.007269680500030518,0.007269680500030518,5.2848254572523956e-05
naive_last,relative_return,2,3,72,2024-10-18T00:00:00,0.0,0.004917621612548828,-0.004917621612548828,0.004917621612548828,2.4183002324207337e-05
naive_last,relative_return,2,4,73,2024-10-21T00:00:00,0.0,0.011246442794799805,-0.011246442794799805,0.011246442794799805,0.00012648247553670444
naive_last,relative_return,2,5,74,2024-10-22T00:00:00,0.0,0.00859522819519043,-0.00859522819519043,0.00859522819519043,7.387794772739653e-05
naive_last,relative_return,3,1,75,2024-10-23T00:00:00,0.0,-0.02162301540374756,0.02162301540374756,0.02162301540374756,0.0004675547951507042
naive_last,relative_return,3,2,76,2024-10-24T00:00:00,0.0,-0.022428512573242188,0.022428512573242188,0.022428512573242188,0.0005030381762480829
naive_last,relative_return,3,3,77,2024-10-25T00:00:00,0.0,-0.018867135047912598,0.018867135047912598,0.018867135047912598,0.0003559687849161719
naive_last,relative_return,3,4,78,2024-10-28T00:00:00,0.0,-0.010429918766021729,0.010429918766021729,0.010429918766021729,0.00010878320546581222
naive_last,relative_return,3,5,79,2024-10-29T00:00:00,0.0,-0.009285151958465576,0.009285151958465576,0.009285151958465576,8.621404689179712e-05
naive_last,relative_return,4,1,80,2024-10-30T00:00:00,0.0,-0.0152779221534729,0.0152779221534729,0.0152779221534729,0.00023341490532757803
naive_last,relative_return,4,2,81,2024-10-31T00:00:00,0.0,-0.03320920467376709,0.03320920467376709,0.03320920467376709,0.001102851275064154
naive_last,relative_return,4,3,82,2024-11-01T00:00:00,0.0,-0.04604780673980713,0.04604780673980713,0.04604780673980713,0.002120400505546627
naive_last,relative_return,4,4,83,2024-11-04T00:00:00,0.0,-0.04989945888519287,0.04989945888519287,0.04989945888519287,0.0024899559970350538
naive_last,relative_return,4,5,84,2024-11-05T00:00:00,0.0,-0.04373687505722046,0.04373687505722046,0.04373687505722046,0.0019129142397709131
naive_last,relative_return,5,1,85,2024-11-06T00:00:00,0.0,-0.00326693058013916,0.00326693058013916,0.00326693058013916,1.067283541544839e-05
naive_last,relative_return,5,2,86,2024-11-07T00:00:00,0.0,0.018035292625427246,-0.018035292625427246,0.018035292625427246,0.0003252717800847904
naive_last,relative_return,5,3,87,2024-11-08T00:00:00,0.0,0.015708208084106445,-0.015708208084106445,0.015708208084106445,0.0002467478012135871
naive_last,relative_return,5,4,88,2024-11-11T00:00:00,0.0,0.0034906864166259766,-0.0034906864166259766,0.0034906864166259766,1.21848916592171e-05
naive_last,relative_return,5,5,89,2024-11-12T00:00:00,0.0,0.0034906864166259766,-0.0034906864166259766,0.0034906864166259766,1.21848916592171e-05
