method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.0042786741759508196,0.0,0.05042881326292425,0.0,0.5105263157894736,0.0,5.0,5.0,3.0,0,0,0,0,0,0,1,1
GRU,0.0029532825184553873,0.0,0.04095469582335726,0.0,0.5245614035087719,0.0,4.0,4.0,1.0,0,0,0,0,1,0,1,1
Naive-last,0.0020790753562398285,0.0,0.033849857982836226,0.0,0.0,0.0,1.0,1.0,5.0,1,0,1,0,0,0,1,1
Drift,0.0022182012474262604,0.0,0.034110621681956124,0.0,0.5052631578947369,0.0,3.0,2.0,4.0,0,0,0,1,0,0,1,1
Mean-context,0.0021837551265272512,0.0,0.03435180931172855,0.0,0.5210526315789473,0.0,2.0,3.0,2.0,0,1,0,0,0,1,1,1
