model,n_stocks,mean_delta_mse,median_delta_mse,relative_mse_improvement_pct,mse_ci_low,mse_ci_high,mse_wilcoxon_statistic,mse_p_value,mse_holm_p_value,mse_rank_biserial,mse_wilcoxon_n,mse_stock_wins,mse_stock_losses,mse_stock_ties,mse_run_wins,mse_run_total,mean_delta_mae,median_delta_mae,relative_mae_improvement_pct,mae_ci_low,mae_ci_high,mae_wilcoxon_statistic,mae_p_value,mae_holm_p_value,mae_rank_biserial,mae_wilcoxon_n,mae_stock_wins,mae_stock_losses,mae_stock_ties,mae_run_wins,mae_run_total
Shared-target JEPA--MAE,1,0.002199598819710991,0.002199598819710991,-105.79697427077095,0.002199598819710991,0.002199598819710991,0.0,1.0,1.0,1.0,1,0,1,0,0,3,0.016578955280088018,0.016578955280088018,-48.9779168009936,0.016578955280088018,0.016578955280088018,0.0,1.0,1.0,1.0,1,0,1,0,0,3
GRU,1,0.0008742071622155585,0.0008742071622155585,-42.04788246812905,0.0008742071622155585,0.0008742071622155585,0.0,1.0,1.0,1.0,1,0,1,0,0,3,0.0071048378405210305,0.0071048378405210305,-20.98926927292747,0.0071048378405210305,0.0071048378405210305,0.0,1.0,1.0,1.0,1,0,1,0,0,3
