stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Shared-target JEPA--MAE,3,0.0004581044797305316,-2.0616538296519105
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Shared-target JEPA--MAE,3,-0.007593849577703579,10.551923041290808
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Shared-target JEPA--MAE,3,-0.0009973230206848209,1.7315227111829046
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Shared-target JEPA--MAE,3,-0.011363120223620854,12.966362840286287
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Shared-target JEPA--MAE,3,-0.0018889593010419034,10.340566617499016
