method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.04691503521259609,0.02931119260817067,0.522962962962963,0.024483694638575422,2.6,3.0,2,0,0,1,5,5
GRU,0.04855839482082746,0.0323630623071819,0.5140740740740741,0.04796260546127311,1.4,2.8,3,2,1,1,5,5
Naive-last,0.0510821586539036,0.03364844315879344,0.0044444444444444444,0.006085806194501846,3.8,5.0,0,2,0,0,5,5
Drift,0.05115328689908105,0.03334453670754194,0.5399999999999999,0.061161595308990624,3.6,2.4,0,0,2,1,5,5
Mean-context,0.0510996822851729,0.0330595047711065,0.5355555555555556,0.07633584016585632,3.6,1.8,0,1,4,0,5,5
